gene_name	Chromosome	seqnames	Cell Type	LSK- WT rep1 (FPKM)	LSK- XistΔ/Δ rep1 (FPK	LSK- WT rep2 (FPKM)	LSK- XistΔ/Δ rep2 (FPK	FoldChange_1	FoldChange_2	FoldChange
Nhsl2	chrX	chrX	LSK-	1.842063041	4.520345817	0.928519756	2.023149603	2.453958261	2.178897747	2.316428004
Hdac8	chrX	chrX	LSK-	14.81849796	18.12186881	15.85015821	18.53131976	1.222922112	1.169156769	1.196039441
Cox7b	chrX	chrX	LSK-	128.190917	145.8547403	167.9060416	168.3830891	1.137793095	1.002841158	1.070317126
Tsc22d3	chrX	chrX	LSK-	62.60209217	97.42444068	39.34878424	51.41549591	1.556248958	1.306660343	1.43145465
Alas2	chrX	chrX	LSK-	0.651291582	1.047297019	0.798139796	1.359775864	1.608030947	1.703681324	1.655856135
Tspyl2	chrX	chrX	LSK-	12.15067333	12.88629198	4.395506049	10.25958255	1.060541389	2.334107254	1.697324321
Syap1	chrX	chrX	LSK-	13.81855793	15.41169391	13.91854198	14.59820225	1.115289597	1.048831283	1.08206044
Rnf128	chrX	chrX	LSK-	1.779257631	1.98056529	2.177792116	3.252399241	1.113141377	1.493438799	1.303290088
Cybb	chrX	chrX	LSK-	8.242854915	17.25018704	5.234580247	6.806825965	2.092744228	1.300357554	1.696550891
5530601H04Rik	chrX	chrX	LSK-	5.102294433	6.525471437	3.812655562	6.261838041	1.278928828	1.642382308	1.460655568
Enox2	chrX	chrX	LSK-	3.913539958	4.604450369	4.521042838	4.604203066	1.176543594	1.018394037	1.097468816
Slc35a2	chrX	chrX	LSK-	19.32978377	23.30504792	20.71603197	21.3509043	1.205654869	1.030646425	1.118150647
Xk	chrX	chrX	LSK-	7.696429725	8.039907427	10.10885676	12.12659359	1.044628187	1.199600893	1.12211454
Cask	chrX	chrX	LSK-	3.392906635	4.329608559	1.876556072	2.05452272	1.27607654	1.09483684	1.18545669
Jade3	chrX	chrX	LSK-	5.632687451	6.330472062	5.506636869	6.640301657	1.123881294	1.205872444	1.164876869
Araf	chrX	chrX	LSK-	35.07733286	40.28335135	32.07507764	35.74381532	1.14841546	1.114379698	1.131397579
A230072C01Rik	chrX	chrX	LSK-	1.872815734	1.894027207	1.806052681	2.256799284	1.01132598	1.249575557	1.130450768
Gpc4	chrX	chrX	LSK-	3.347128691	4.249540742	7.835318351	9.590033379	1.269607814	1.223949424	1.246778619
Rbmx	chrX	chrX	LSK-	19.53380151	20.0096864	19.9250884	25.35483535	1.024362124	1.272508048	1.148435086
Atp11c	chrX	chrX	LSK-	4.618877246	4.806270178	4.562415389	5.131038735	1.0405711	1.124632086	1.082601593
Mecp2	chrX	chrX	LSK-	3.043615359	3.195249901	2.354792705	2.803386759	1.049820534	1.190502566	1.12016155
Taz	chrX	chrX	LSK-	48.43232046	50.23972827	43.10715808	51.0076112	1.037318216	1.183274738	1.110296477
Fam50a	chrX	chrX	LSK-	41.19104489	42.94928037	31.88351107	39.63952637	1.042684896	1.243261016	1.142972956
Dkc1	chrX	chrX	LSK-	105.3620107	106.9515587	102.8969342	133.7922551	1.015086538	1.300255019	1.157670779
Gspt2	chrX	chrX	LSK-	4.887208154	4.955143127	3.046471	3.20579907	1.013900569	1.052299224	1.033099896
Pja1	chrX	chrX	LSK-	36.4214625	37.4146848	35.41486069	40.67955496	1.027270248	1.148657772	1.08796401
Pdzd11	chrX	chrX	LSK-	41.60582469	44.61011015	42.71703163	46.13734767	1.07220829	1.080069141	1.076138716
Ogt	chrX	chrX	LSK-	24.72902958	26.50886343	32.7883528	37.82498009	1.071973461	1.153610256	1.112791859
Armcx3	chrX	chrX	LSK-	1.695503612	1.802080057	1.683731113	1.703521694	1.062858282	1.011754003	1.037306143
Armcx5	chrX	chrX	LSK-	3.595316905	3.657108916	2.917784108	3.256346993	1.017186805	1.116034248	1.066610527
Tbc1d8b	chrX	chrX	LSK-	1.685901995	1.873975361	1.118614025	1.354693349	1.111556524	1.211046276	1.1613014
Ammecr1	chrX	chrX	LSK-	10.86101845	11.95795331	18.04837576	18.51497074	1.100997422	1.025852464	1.063424943
Txlng	chrX	chrX	LSK-	3.045218978	3.058979973	2.291774343	2.964146248	1.004518885	1.293384865	1.148951875
Fancb	chrX	chrX	LSK-	4.384985571	5.541479028	5.53935839	5.554507735	1.263739398	1.002734856	1.133237127
Xist	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	12.02919614	4.588081242	10.82881484	3.296707596	0.381412123	0.304438449	0.342925286
Prickle3	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	5.73161067	5.375002075	5.953234215	5.797064357	0.937782132	0.973767224	0.955774678
B630019K06Rik	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	3.477465443	2.317356979	5.331580966	3.42381727	0.666392525	0.642176737	0.654284631
Cxx1c	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	5.568842492	5.084027221	8.29579126	4.069989712	0.912941465	0.490608983	0.701775224
Efnb1	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	4.182314486	3.703277189	5.307395921	5.148643916	0.885461197	0.970088532	0.927774864
Itm2a	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	6.787558978	6.710668534	13.80788368	7.041896908	0.988671856	0.509991037	0.749331446
Tspan6	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	5.145195829	3.413277371	13.96152338	5.41690436	0.663391149	0.387988059	0.525689604
Wbp5	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	69.46915456	67.63761877	104.9004163	78.09999329	0.973635266	0.744515571	0.859075418
2010204K13Rik	chrX	chrX	LSK+ and LSK-	8.599048037	5.564413306	16.97509479	12.90766304	0.647096432	0.760388275	0.703742354
Tbc1d25	chrX	chrX	LSK+ and LSK-	12.72889309	12.05631345	12.99364856	12.12607995	0.947161184	0.933231332	0.940196258
Dynlt3	chrX	chrX	LSK+ and LSK-	28.48698204	28.02644962	40.42946614	33.99115801	0.983833583	0.840752087	0.912292835
Slc9a7	chrX	chrX	LSK+ and LSK-	2.590478833	2.456343689	2.388363568	1.938079271	0.948219942	0.811467441	0.879843691
Pgrmc1	chrX	chrX	LSK+ and LSK-	61.53178743	55.99112917	113.3864657	86.21615551	0.909954538	0.760374309	0.835164423
Slc25a43	chrX	chrX	LSK+ and LSK-	3.92710832	3.793908236	4.251096861	3.880422604	0.966081892	0.912805031	0.939443462
Mcts1	chrX	chrX	LSK+ and LSK-	59.72864103	56.39373416	72.06403609	68.58682592	0.9441657	0.951748329	0.947957014
Smim10l2a	chrX	chrX	LSK+ and LSK-	1.178645173	1.087678811	2.341268678	0.799020811	0.922821249	0.341276855	0.632049052
Fhl1	chrX	chrX	LSK+ and LSK-	1.022185431	0.807075154	1.275382214	0.696749393	0.789558459	0.546306343	0.667932401
Cd99l2	chrX	chrX	LSK+ and LSK-	3.796463284	3.712755537	5.959757892	5.904118119	0.977951124	0.990664088	0.984307606
Xlr4a	chrX	chrX	LSK+ and LSK-	3.828555084	3.618864461	4.906984909	3.881824747	0.945229827	0.791081452	0.86815564
Pnck	chrX	chrX	LSK+ and LSK-	1.421992975	1.068003233	3.259249414	1.388306342	0.751060836	0.425958914	0.588509875
Dnase1l1	chrX	chrX	LSK+ and LSK-	5.571924506	5.266476011	6.894360723	6.372708443	0.945180791	0.924336381	0.934758586
Vbp1	chrX	chrX	LSK+ and LSK-	86.33922116	85.89006709	132.1445105	100.6218558	0.994797798	0.761453165	0.878125482
Maged1	chrX	chrX	LSK+ and LSK-	11.34650173	5.999327601	11.92387357	6.624267213	0.528738086	0.555546582	0.542142334
Amer1	chrX	chrX	LSK+ and LSK-	3.943075359	3.667180395	4.453354737	4.20287498	0.930030512	0.943754816	0.936892664
Armcx1	chrX	chrX	LSK+ and LSK-	4.207726482	3.047942353	5.606810645	5.585636731	0.724367985	0.996223537	0.860295761
Armcx6	chrX	chrX	LSK+ and LSK-	2.199947231	1.401094445	1.934923296	1.666193148	0.636876387	0.861115865	0.748996126
Zmat1	chrX	chrX	LSK+ and LSK-	2.169478116	2.107804839	1.536833025	1.446868542	0.971572298	0.941461121	0.95651671
Gprasp2	chrX	chrX	LSK+ and LSK-	1.229325172	0.586031109	1.082523263	0.553785841	0.476709598	0.51156946	0.494139529
Arxes2	chrX	chrX	LSK+ and LSK-	1.721278589	1.529368949	3.171003362	1.241573885	0.888507508	0.391539757	0.640023632
Bex1	chrX	chrX	LSK+ and LSK-	4.50715542	3.073219222	6.611726475	2.079378724	0.681853394	0.314498601	0.498175997
Tceal1	chrX	chrX	LSK+ and LSK-	2.161931152	1.604871189	6.141780574	4.254785222	0.742332237	0.692760865	0.717546551
Slc25a53	chrX	chrX	LSK+ and LSK-	1.616040387	1.250627611	1.769565099	1.117848392	0.773883884	0.631707979	0.702795931
Maged2	chrX	chrX	LSK+ and LSK-	9.023506606	8.88795459	8.424337306	5.780220352	0.9849779	0.686133537	0.835555719
2210013O21Rik	chrX	chrX	LSK+ and LSK-	42.95595867	42.60596776	56.41797068	45.32346343	0.991852331	0.803351536	0.897601934
Tceanc	chrX	chrX	LSK+ and LSK-	4.029127096	3.689682895	5.91294975	4.027113054	0.915752421	0.68106668	0.798409551
Xiap	chrX	chrX	LSK- and Lin-	2.574732532	1.810078865	2.284548644	1.894917552	0.703016272	0.829449422	0.766232847
Zfp280c	chrX	chrX	LSK- and Lin-	5.759043656	5.361644845	6.201805481	5.600947639	0.930995694	0.903115658	0.917055676
F8a	chrX	chrX	LSK- and Lin-	14.15188946	14.11718097	19.7439832	14.05344184	0.997547431	0.711783519	0.854665475
Zfp275	chrX	chrX	LSK- and Lin-	1.918213563	1.602899531	1.397383997	1.135868592	0.835620998	0.812853585	0.824237291
Zfx	chrX	chrX	LSK- and Lin-	5.390325607	5.297749767	6.07001064	4.837208738	0.982825557	0.796902843	0.8898642
Zdhhc15	chrX	chrX	LSK- and Lin-	1.12146358	1.105349465	1.739726431	1.25446416	0.985631173	0.721069783	0.853350478
Fam199x	chrX	chrX	LSK- and Lin-	2.476743365	2.278016893	2.330473771	1.982580987	0.919762994	0.850720146	0.88524157
Fgd1	chrX	chrX	LSK- and Lin-	1.684115765	1.181571508	1.898885246	1.221462688	0.701597558	0.643252503	0.672425031
Mbtps2	chrX	chrX	LSK- and Lin-	1.887647584	1.715257866	2.076293017	1.703303727	0.90867484	0.820358067	0.864516454
Rab9	chrX	chrX	LSK- and Lin-	23.31968671	22.71461434	24.77997155	20.61731629	0.974053152	0.832015333	0.903034243
Mmgt1	chrX	chrX	LSK-	11.85877876	10.78710655	13.90071817	9.467524445	0.909630475	0.681081677	0.795356076
Plp2	chrX	chrX	LSK-	2.683473864	2.233406035	4.221127443	3.360547791	0.832281642	0.796125641	0.814203642
Praf2	chrX	chrX	LSK-	8.267647244	7.782408214	9.255333197	6.199099632	0.941308692	0.66978676	0.805547726
Pim2	chrX	chrX	LSK-	7.470848431	5.585156493	7.668004581	6.299905452	0.747593335	0.821583423	0.784588379
Hdac6	chrX	chrX	LSK-	9.303096767	8.961466961	9.377835896	8.338441919	0.96327784	0.889164836	0.926221338
Rpgr	chrX	chrX	LSK-	2.714316821	2.470006744	3.480275516	2.444090815	0.909992056	0.702269347	0.806130702
44445	chrX	chrX	LSK-	10.17497197	9.687137566	10.88272709	10.26456733	0.952055455	0.943198083	0.947626769
Rpl39	chrX	chrX	LSK-	82.46233454	81.08799566	130.6577298	91.7163397	0.983333738	0.701958773	0.842646256
Nkap	chrX	chrX	LSK-	12.37061303	11.52746595	12.9711762	11.88252908	0.931842741	0.916071827	0.923957284
Rap2c	chrX	chrX	LSK-	6.472706725	6.281937996	8.143533949	6.949937633	0.97052721	0.853430179	0.911978694
Phf6	chrX	chrX	LSK-	20.052156	19.45194678	25.43787398	21.08449219	0.970067597	0.8288622	0.899464899
Fam122b	chrX	chrX	LSK-	6.396778809	5.572880712	6.465919125	5.819221085	0.871201097	0.899983587	0.885592342
Cxx1b	chrX	chrX	LSK-	2.931305853	2.819774001	4.070593939	2.537343455	0.961951479	0.623334947	0.792643213
Zfp449	chrX	chrX	LSK-	1.467076088	1.008123352	1.510641839	0.990542865	0.687165008	0.655709937	0.671437473
Vma21	chrX	chrX	LSK-	4.870374547	4.403188768	6.189679849	4.355201068	0.904076006	0.703622994	0.8038495
Dusp9	chrX	chrX	LSK-	1.08084364	0.684760786	1.95489809	1.150286697	0.633542874	0.588412615	0.610977745
Fundc2	chrX	chrX	LSK-	17.71161668	17.23267232	25.74407132	20.33543107	0.972958744	0.789907347	0.881433045
Igbp1	chrX	chrX	LSK-	23.91847165	23.05579103	25.00731118	24.19169728	0.963932452	0.967384982	0.965658717
Snx12	chrX	chrX	LSK-	22.72090103	22.61003017	21.6823041	20.94262511	0.995120314	0.965885591	0.980502953
Rps4x	chrX	chrX	LSK-	28.30274205	25.39398422	40.32941469	35.92753249	0.897226996	0.89085182	0.894039408
Abcb7	chrX	chrX	LSK-	6.76277991	6.621139828	8.271514175	7.390212379	0.979055938	0.89345339	0.936254664
Magee1	chrX	chrX	LSK-	1.193124112	1.175604511	2.628038719	1.783915623	0.985316196	0.678801119	0.832058657
2810403D21Rik	chrX	chrX	LSK-	1.996334335	1.195190421	3.379069761	2.335357696	0.598692514	0.69112444	0.644908477
Apool	chrX	chrX	LSK-	23.96433007	22.65680444	30.37008527	29.58030621	0.945438674	0.973994836	0.959716755
Trmt2b	chrX	chrX	LSK-	12.6407902	12.35879769	13.86456727	11.48745931	0.97769186	0.828547987	0.903119924
Bex2	chrX	chrX	LSK-	1.57722887	1.331670036	1.984613241	1.289801236	0.844309955	0.649900549	0.747105252
Fam120c	chrX	chrX	LSK-	3.393676531	3.048319854	3.574599441	2.323375435	0.89823524	0.649968052	0.774101646
Phf8	chrX	chrX	LSK-	7.816941648	7.48505256	6.970037701	6.587267584	0.957542335	0.945083494	0.951312915
Mir3113	chrX	chrX	LSK-	4.15982585	0.929695335	1.731928351	0.798673259	0.223493812	0.461146825	0.342320318
Mageh1	chrX	chrX	LSK-	1.382946395	1.061368923	2.730450705	1.541359409	0.767469315	0.56450732	0.665988318
Ubqln2	chrX	chrX	LSK-	10.94610021	10.3532348	11.11724132	8.368104876	0.94583775	0.752714153	0.849275952
Yy2	chrX	chrX	LSK-	2.828873548	2.793085392	2.355229248	2.240668033	0.987348973	0.951358784	0.969353878
Uggt1	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	23.64023747	31.14306043	17.34368281	17.6549043	1.31737511	1.017944372	1.167659741
Stat1	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	15.23114727	28.72358194	12.25336075	42.08672065	1.885844936	3.434708365	2.66027665
Serpine2	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	58.7028271	69.39613938	29.64319684	30.45296443	1.18216009	1.027317148	1.104738619
Trip12	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	8.944143829	9.539994552	7.350698064	8.84460983	1.06661909	1.203233999	1.134926545
Sp100	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	31.46366888	49.40740491	31.00360414	43.52732254	1.57030018	1.403943952	1.487122066
Cab39	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	53.46336177	60.45188967	51.63917571	52.57932291	1.130716208	1.018206085	1.074461146
Hdlbp	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	43.97829799	54.41163268	22.43084153	34.3280113	1.237238256	1.530393376	1.383815816
Ddx18	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	11.25658522	11.44102618	10.49383782	13.3912422	1.016385162	1.276105314	1.146245238
Rab7b	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	13.58123087	19.54755376	7.653434629	8.917621151	1.439306492	1.16517898	1.302242736
Tmcc2	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	5.338052184	5.408045943	3.991256819	6.419990172	1.013112228	1.608513424	1.310812826
Pla2g4a	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	19.38902768	22.84594495	23.04219693	25.82019114	1.178292451	1.120561169	1.14942681
Selp	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	4.495262651	8.840668904	5.21452494	6.067562722	1.966663483	1.163588782	1.565126132
Uck2	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	124.9781037	141.0142229	116.2192579	133.8983385	1.12831143	1.152118341	1.140214885
Pyhin1	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	6.210137498	8.398540301	3.32736272	3.914115619	1.352392005	1.17634173	1.264366867
Ifi203	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	4.467512826	5.239190886	4.373198759	6.120385649	1.172731023	1.399521491	1.286126257
Iars2	chr1	autosomes	"LSK+, LSK- and Lin- (Common)"	28.51984557	28.70184852	28.25137182	35.05348358	1.006381625	1.240771025	1.123576325
Sec63	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	16.36249801	18.50564319	11.42567374	15.06242333	1.130979094	1.318296292	1.224637693
Dna2	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	24.41042882	27.66621751	17.93339959	25.95397455	1.133376956	1.447242305	1.29030963
Cdc34	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	118.6078623	134.9698299	137.1993693	161.896411	1.137950109	1.18000842	1.158979265
Ptbp1	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	149.2315388	161.1717201	171.1949877	174.5068522	1.080011111	1.019345569	1.04967834
Lmnb2	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	57.21201006	65.17575229	36.15727963	46.74130016	1.139197036	1.292721705	1.215959371
Fzr1	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	85.4994552	92.46935137	76.28967658	96.25063972	1.081519773	1.261646976	1.171583374
Ncln	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	126.02115	147.6578363	94.15939192	111.6683368	1.171690913	1.185950064	1.178820488
Txnrd1	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	50.61059083	57.15779566	58.9355524	59.53874985	1.129364323	1.010234865	1.069799594
Hsp90b1	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	455.6966455	556.4621395	229.4328612	315.8894103	1.221124064	1.376827228	1.298975646
Tmpo	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	84.6519369	87.53598077	81.86278658	83.71203063	1.034069437	1.022589557	1.028329497
Nup107	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	56.71545227	69.01915446	49.27481792	61.87702996	1.21693739	1.255753599	1.236345495
Mars	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	67.21986558	81.36387335	82.85409622	83.84802344	1.210414104	1.011996114	1.111205109
Pa2g4	chr10	autosomes	"LSK+, LSK- and Lin- (Common)"	108.1154738	112.7836653	125.4619722	141.1779779	1.04317783	1.125265093	1.084221462
Sf3a1	chr11	autosomes	"LSK+, LSK- and Lin- (Common)"	37.64841572	41.82733858	37.76900285	40.20476131	1.110998638	1.064490939	1.087744788
Ascc2	chr11	autosomes	"LSK+, LSK- and Lin- (Common)"	26.98426762	30.74906352	19.09974574	31.18065371	1.13951818	1.632516691	1.386017435
Ykt6	chr11	autosomes	"LSK+, LSK- and Lin- (Common)"	38.59423408	41.92249114	38.68024592	40.69482621	1.086237158	1.052082923	1.069160041
Tbrg4	chr11	autosomes	"LSK+, LSK- and Lin- (Common)"	22.8353613	24.1900467	17.12948314	24.39375599	1.059324019	1.424080096	1.241702057
Hus1	chr11	autosomes	"LSK+, LSK- and Lin- (Common)"	7.124589394	7.343261695	7.593041496	8.772708512	1.030692618	1.155361592	1.093027105
Rars	chr11	autosomes	"LSK+, LSK- and Lin- (Common)"	64.25529214	72.76781957	76.75230259	78.34493702	1.132479787	1.020750315	1.076615051
Clint1	chr11	autosomes	"LSK+, LSK- and Lin- (Common)"	107.120177	127.3611473	111.3751236	124.5273733	1.188955721	1.118089654	1.153522687
Irgm1	chr11	autosomes	"LSK+, LSK- and Lin- (Common)"	25.18712696	40.44181665	42.60279326	71.59249238	1.605654218	1.680464751	1.643059485
Rufy1	chr11	autosomes	"LSK+, LSK- and Lin- (Common)"	26.22734009	29.43813622	16.33318595	20.50719592	1.122421722	1.255553936	1.188987829
Gm12250	chr11	autosomes	"LSK+, LSK- and Lin- (Common)"	2.740610654	10.10690998	5.51448038	25.74809871	3.687831385	4.669179494	4.17850544
Igtp	chr11	autosomes	"LSK+, LSK- and Lin- (Common)"	9.015934958	23.06912824	15.09508684	49.83752722	2.558706152	3.30157274	2.930139446
Irgm2	chr11	autosomes	"LSK+, LSK- and Lin- (Common)"	2.211131108	3.361260482	2.584585166	8.406448953	1.520154309	3.252533159	2.386343734
