gene_name	Chromosome	seqnames	Cell Type	LSK+ WT rep1 (FPKM)	LSK+ XistΔ/Δ rep1 (FPK	LSK+ WT rep2 (FPKM)	LSK+ XistΔ/Δ rep2 (FPK	FoldChange_1	FoldChange_2	FoldChange
Hccs	chrX	chrX	LSK+	29.63886189	30.35953691	27.29116436	29.81161209	1.024315206	1.092353983	1.058334594
Med12	chrX	chrX	LSK+	6.30047735	9.383482341	6.945263216	7.855934168	1.489328795	1.131121157	1.310224976
Gpkow	chrX	chrX	LSK+	22.48832535	23.88400103	21.16337252	23.64524725	1.062062233	1.117272175	1.089667204
Otud5	chrX	chrX	LSK+	56.67595612	63.78547783	57.94096479	64.58570959	1.125441584	1.114681294	1.120061439
Gata1	chrX	chrX	LSK+	13.8326639	19.04545195	19.51343479	21.08170142	1.376846288	1.080368559	1.228607424
Suv39h1	chrX	chrX	LSK+	54.66647367	60.71868062	42.06768499	58.37608813	1.110711494	1.387670564	1.249191029
Elf4	chrX	chrX	LSK+	15.31403634	24.46434857	13.07976881	18.19324692	1.597511461	1.390945603	1.494228532
Fmr1	chrX	chrX	LSK+	12.8350148	17.0020901	11.84143508	13.8283634	1.324664628	1.167794554	1.246229591
Haus7	chrX	chrX	LSK+	36.73014522	39.01676914	30.31708013	31.52947806	1.062254693	1.03999059	1.051122642
Hcfc1	chrX	chrX	LSK+	13.99959762	20.09351517	10.51992337	14.27174826	1.435292337	1.356639945	1.395966141
Pfkfb1	chrX	chrX	LSK+	1.922816594	2.252841437	2.151417804	2.188805306	1.171636153	1.017378076	1.094507115
Smc1a	chrX	chrX	LSK+	85.5122354	88.41847648	60.16739434	92.9300491	1.03398626	1.544525072	1.289255666
Sh3kbp1	chrX	chrX	LSK+	29.44995541	39.59823298	26.14619073	38.39700492	1.344593988	1.468550632	1.40657231
Phka2	chrX	chrX	LSK+	9.321270651	13.16751094	7.652018999	10.21537735	1.41263047	1.334991112	1.373810791
Piga	chrX	chrX	LSK+	8.119388212	8.649197174	8.315566354	8.441364728	1.065252326	1.015128059	1.040190192
Gemin8	chrX	chrX	LSK+	4.547621911	7.061187713	4.266845512	6.767953994	1.552720928	1.58617273	1.569446829
Msl3	chrX	chrX	LSK+	28.63630996	32.83991944	30.46224833	35.39766922	1.146792987	1.162017617	1.154405302
Usp9x	chrX	chrX	LSK+	2.575586956	3.323427448	3.017992133	3.604164197	1.290357307	1.194225842	1.242291575
Uba1	chrX	chrX	LSK+	123.9904311	132.3340996	101.4612443	124.8226339	1.067292842	1.23024939	1.148771116
Flna	chrX	chrX	LSK+	49.8568338	71.42654463	42.40242828	56.00084438	1.432632985	1.320698994	1.37666599
Kif4	chrX	chrX	LSK+	12.62037152	19.70124138	9.15519961	16.85685438	1.561066674	1.841232862	1.701149768
Ccdc22	chrX	chrX	LSK+	37.05427811	44.37889035	35.01293594	43.340613	1.197672512	1.237845723	1.217759118
Atp6ap2	chrX	chrX	LSK+	63.58535712	68.43107896	61.27674125	63.35212501	1.076208141	1.03386903	1.055038585
Slc25a5	chrX	chrX	LSK+	257.5883403	260.0686996	161.9086913	202.5751719	1.00962916	1.251169226	1.130399193
Bcorl1	chrX	chrX	LSK+	0.73879393	1.273066192	0.596488368	1.071905299	1.723168182	1.797026324	1.760097253
Hprt	chrX	chrX	LSK+	212.2041826	223.2122844	218.0829282	223.6823622	1.051875046	1.02567571	1.038775378
Fam122b	chrX	chrX	LSK+	5.608552015	6.659487359	5.836040836	6.765772316	1.187380868	1.159308598	1.173344733
BC023829	chrX	chrX	LSK+	21.89502525	22.45624211	23.46397073	25.06024606	1.025632163	1.068030912	1.046831538
Naa10	chrX	chrX	LSK+	68.01245173	75.32780871	58.78240679	66.80687076	1.107559084	1.13651132	1.122035202
Slc10a3	chrX	chrX	LSK+	22.55888807	24.98500116	20.26781677	23.07900877	1.107545775	1.13870226	1.123124018
Fundc2	chrX	chrX	LSK+	15.70004515	16.65677656	17.35479445	18.68800904	1.060938131	1.076821111	1.068879621
Brcc3	chrX	chrX	LSK+	10.94144686	11.60791747	11.24214224	12.90344994	1.060912475	1.147775011	1.104343743
Tbl1x	chrX	chrX	LSK+	34.79169955	42.62881926	32.31415712	35.38817101	1.225258318	1.095129014	1.160193666
Snx12	chrX	chrX	LSK+	18.37281894	19.29979706	16.1953169	18.29476307	1.050453778	1.129632917	1.090043347
Cxcr3	chrX	chrX	LSK+	0.908422303	2.740688889	0.764164279	1.614650669	3.016976663	2.112962766	2.564969714
Atp7a	chrX	chrX	LSK+	1.665702482	2.851142381	3.370276604	3.758620062	1.711675652	1.11522599	1.413450821
Pgk1	chrX	chrX	LSK+	5.814789172	7.808937908	4.841164647	7.779848841	1.342944289	1.607020089	1.474982189
Prps1	chrX	chrX	LSK+	60.64573738	66.05429181	57.31925785	58.84761754	1.089182763	1.026663983	1.057923373
Kantr	chrX	chrX	LSK+	3.522063104	4.85374374	5.391562791	5.893282989	1.378096757	1.093056544	1.23557665
Ubqln2	chrX	chrX	LSK+	16.02050576	16.31496732	13.87977807	15.54487125	1.018380291	1.119965403	1.069172847
Eif1ax	chrX	chrX	LSK+	90.29640824	95.44776338	82.15271752	88.84356661	1.057049391	1.081444038	1.069246715
Ap1s2	chrX	chrX	LSK+	2.051599368	2.436679681	2.221756646	2.584615633	1.187697617	1.163320762	1.175509189
Tlr7	chrX	chrX	LSK+	3.331233095	5.997924706	2.070349379	4.438850977	1.800511863	2.144010581	1.972261222
Prps2	chrX	chrX	LSK+	38.28404789	44.26655157	30.97750227	44.46373241	1.156266226	1.435355634	1.29581093
Mmgt1	chrX	chrX	LSK+	7.442297222	8.0913012	7.031965972	8.452204474	1.087204792	1.20196891	1.144586851
Idh3g	chrX	chrX	LSK+	230.4482067	239.2843582	216.6508911	235.4530703	1.038343329	1.086785607	1.062564468
Rlim	chrX	chrX	LSK+	7.982119011	9.385383581	8.384357028	8.464746559	1.175801008	1.009588038	1.092694523
Gprasp1	chrX	chrX	LSK+	12.75144397	12.86932929	14.11025229	15.51596596	1.00924486	1.099623567	1.054434214
Jpx	chrX	chrX	LSK+	0.947941125	1.592933802	1.381350257	1.573219234	1.680414279	1.138899585	1.409656932
Timm17b	chrX	chrX	LSK+	35.16465555	38.48641759	36.13587655	36.8545966	1.094463091	1.019889376	1.057176234
Gnl3l	chrX	chrX	LSK+	13.8725535	16.91585585	14.56475315	15.24179795	1.219375787	1.046485155	1.132930471
Plp2	chrX	chrX	LSK+	11.20806603	14.07488614	10.78119103	11.27339228	1.255781872	1.045653699	1.150717785
Ccdc120	chrX	chrX	LSK+	3.365516433	4.709419535	4.418954519	4.817729219	1.399315567	1.090241866	1.244778716
Pqbp1	chrX	chrX	LSK+	66.65702335	71.76007065	55.76251101	66.23029897	1.076556783	1.187720886	1.132138835
Hdac6	chrX	chrX	LSK+	19.97911667	24.13047857	16.00429464	23.85892512	1.207785057	1.490782671	1.349283864
Ebp	chrX	chrX	LSK+	28.19019912	34.11682877	27.76316365	33.35756243	1.21023724	1.201504369	1.205870804
Rpgr	chrX	chrX	LSK+	3.274326158	3.282831933	3.005097818	3.239713667	1.002597718	1.078072616	1.040335167
Mid1ip1	chrX	chrX	LSK+	37.32240283	38.39440934	30.8131524	40.47427242	1.02872287	1.313538838	1.171130854
Bcor	chrX	chrX	LSK+	9.103009956	14.88164887	10.38356452	12.14679974	1.634805294	1.169810205	1.402307749
Rp2h	chrX	chrX	LSK+	10.37344767	10.72917549	13.24708947	13.89621259	1.03429215	1.049001188	1.041646669
Ndufb11	chrX	chrX	LSK+	40.91375387	46.43870061	47.19655713	49.15600783	1.135038862	1.041516814	1.088277838
Usp11	chrX	chrX	LSK+	43.16077558	44.39206508	44.63219212	49.49367028	1.028527974	1.108923132	1.068725553
Dock11	chrX	chrX	LSK+	13.44955493	18.5284984	15.22200176	16.53449159	1.377629112	1.086223209	1.23192616
C330007P06Rik	chrX	chrX	LSK+	9.426643756	10.70718733	9.889769443	10.24156151	1.135843001	1.035571311	1.085707156
Nkrf	chrX	chrX	LSK+	1.342606998	1.842768593	1.409061173	1.449094115	1.372530156	1.028411074	1.200470615
Nkap	chrX	chrX	LSK+	10.38244886	10.56874389	9.932265819	12.35671866	1.017943265	1.244098666	1.131020966
Cul4b	chrX	chrX	LSK+	13.55170416	16.0961219	15.95984475	17.06823728	1.187756294	1.069448829	1.128602561
Stag2	chrX	chrX	LSK+	19.30695374	24.95032269	23.27464379	27.15290737	1.292297222	1.166630416	1.229463819
Gpc3	chrX	chrX	LSK+	3.266477312	9.379574196	2.1917354	8.897532479	2.87146467	4.059583323	3.465523997
Phf6	chrX	chrX	LSK+	27.70098195	38.22461568	36.76301729	37.01626163	1.379901108	1.006888562	1.193394835
Slc9a6	chrX	chrX	LSK+	3.009910184	3.8344875	3.655177708	4.018852286	1.273954127	1.099495731	1.186724929
Arhgef6	chrX	chrX	LSK+	44.19964467	59.41676201	52.78300556	66.91950806	1.344281441	1.267822992	1.306052216
Ids	chrX	chrX	LSK+	6.69300072	7.803377252	7.779128252	7.829709423	1.165901152	1.006502164	1.086201658
Mtmr1	chrX	chrX	LSK+	12.89761112	17.32096584	12.8836783	15.1848946	1.342959225	1.178614853	1.260787039
F8a	chrX	chrX	LSK+	14.71542179	16.48618113	13.29004001	16.20042892	1.120333577	1.218990229	1.169661903
Abcd1	chrX	chrX	LSK+	40.01580981	43.16651837	37.69137353	45.76796325	1.078736594	1.214282181	1.146509387
Mir5132	chrX	chrX	LSK+	2.820087759	3.465332134	3.710886294	4.254786975	1.228802941	1.146568943	1.187685942
Emd	chrX	chrX	LSK+	23.89958322	29.21065367	36.08421639	39.0081492	1.222224396	1.081030797	1.151627597
Ikbkg	chrX	chrX	LSK+	11.69761648	15.24125863	13.67423398	15.57270454	1.302937112	1.138835606	1.220886359
4933407K13Rik	chrX	chrX	LSK+	0.954870355	1.306211026	1.55565571	1.741908443	1.367945941	1.119726191	1.243836066
Gyk	chrX	chrX	LSK+	4.235299828	4.968661335	4.413515725	5.100420797	1.173154567	1.155636711	1.164395639
Pola1	chrX	chrX	LSK+	16.85465243	21.8674218	11.106564	22.68545999	1.297411613	2.042527282	1.669969448
Zfx	chrX	chrX	LSK+	4.844090762	5.922159955	6.65267259	7.202066528	1.222553467	1.082582441	1.152567954
Msn	chrX	chrX	LSK+	194.428013	220.6806388	179.3902994	215.9470592	1.135024914	1.20378337	1.169404142
Stard8	chrX	chrX	LSK+	3.243640735	5.373120497	4.020488212	4.463682755	1.656509132	1.110234011	1.383371572
Il2rg	chrX	chrX	LSK+	172.1969666	175.3077529	168.6036613	181.9926496	1.018065279	1.079411017	1.048738148
Zmym3	chrX	chrX	LSK+	12.66014807	14.94128502	11.90729848	14.34481752	1.180182486	1.204707982	1.192445234
Rgag4	chrX	chrX	LSK+	3.380262697	3.636597971	4.052493518	4.21856069	1.075832945	1.04097901	1.058405977
Abcb7	chrX	chrX	LSK+	5.128211332	6.523389267	5.550972124	7.438156677	1.272059368	1.339973704	1.306016536
Chm	chrX	chrX	LSK+	4.772188779	6.11684166	7.098845931	7.853798824	1.281768585	1.10634868	1.194058633
Cstf2	chrX	chrX	LSK+	34.20770492	40.46187715	26.55804587	35.31955764	1.182829343	1.329900468	1.256364906
Cenpi	chrX	chrX	LSK+	10.78683568	14.92758458	13.36870575	16.55548521	1.383870583	1.238376064	1.311123323
Gla	chrX	chrX	LSK+	2.575469329	3.195954783	3.707622542	3.746233281	1.240921314	1.010413881	1.125667597
Morf4l2	chrX	chrX	LSK+	59.42197821	59.75440736	50.3077473	62.77297675	1.00559438	1.247779519	1.12668695
Morc4	chrX	chrX	LSK+	1.775651084	1.811474456	1.059708151	1.352061738	1.020174781	1.275881229	1.148028005
Phf8	chrX	chrX	LSK+	7.970113937	10.65087817	8.220385906	10.78422715	1.336352059	1.311888186	1.324120122
Mbtps2	chrX	chrX	LSK+	2.332287207	2.815835786	1.936197518	2.161232003	1.207328059	1.116224963	1.161776511
Yy2	chrX	chrX	LSK+	3.547782536	4.053223392	3.259332568	3.70895138	1.142466696	1.137948123	1.14020741
Siah1b	chrX	chrX	LSK+	15.24039165	18.05433232	15.8550818	16.34288055	1.184637031	1.030766083	1.107701557
Xist	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	2.133228456	0.049644162	3.587866624	0.041586953	0.023271845	0.011590998	0.017431421
Prickle3	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	13.76659189	11.30850805	16.67568622	15.19223771	0.821445725	0.911041232	0.866243478
B630019K06Rik	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	10.82386823	8.252972798	9.932351021	8.666386414	0.762479053	0.872541294	0.817510174
Cxx1c	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	13.90226246	11.17272809	16.4393822	13.53904203	0.803662578	0.823573651	0.813618115
Efnb1	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	9.182501358	7.597471202	8.787661647	8.492341935	0.827385797	0.966393823	0.89688981
Itm2a	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	43.10016846	36.0313854	59.20606907	48.36152863	0.835991753	0.816833973	0.826412863
Tspan6	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	23.45247685	18.80795823	27.54784053	23.18935325	0.801960422	0.841784793	0.821872608
Wbp5	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	77.37622715	63.13639283	74.17616979	67.38167092	0.815966288	0.908400516	0.862183402
2010204K13Rik	chrX	chrX	LSK+ and LSK-	9.503338021	8.12259425	8.058298116	7.472413403	0.854709601	0.927294237	0.891001919
Tbc1d25	chrX	chrX	LSK+ and LSK-	17.36100552	15.95276882	19.6875037	17.11234187	0.918885073	0.869198154	0.894041613
Dynlt3	chrX	chrX	LSK+ and LSK-	46.35055898	42.31768664	60.44498886	50.25944881	0.912991937	0.831490745	0.872241341
Slc9a7	chrX	chrX	LSK+ and LSK-	3.916940848	3.756080161	4.104870496	3.996868877	0.958932061	0.973689397	0.966310729
Pgrmc1	chrX	chrX	LSK+ and LSK-	117.1399707	106.4100904	117.525936	108.4433622	0.908401204	0.922718558	0.915559881
Slc25a43	chrX	chrX	LSK+ and LSK-	4.422860125	3.456191582	4.902473387	4.191677694	0.781438138	0.85501284	0.818225489
Mcts1	chrX	chrX	LSK+ and LSK-	44.1594838	41.37371651	51.67197356	46.50896633	0.936915764	0.900081091	0.918498427
Smim10l2a	chrX	chrX	LSK+ and LSK-	7.443135673	7.294927816	7.332068614	7.125009241	0.980087981	0.971759761	0.975923871
Fhl1	chrX	chrX	LSK+ and LSK-	4.623725251	3.41205533	5.852977241	4.324311515	0.737945086	0.738822541	0.738383813
Cd99l2	chrX	chrX	LSK+ and LSK-	8.15365707	7.113038478	10.28032328	9.756384117	0.872374006	0.949034758	0.910704382
Xlr4a	chrX	chrX	LSK+ and LSK-	3.698553384	3.575449256	3.421534791	2.773173218	0.966715601	0.810505632	0.888610616
Pnck	chrX	chrX	LSK+ and LSK-	17.07179499	8.006304125	14.76664097	8.159070217	0.46897846	0.552533933	0.510756197
Dnase1l1	chrX	chrX	LSK+ and LSK-	8.338888271	7.091777782	9.179779858	8.691216827	0.850446433	0.94677835	0.898612391
Vbp1	chrX	chrX	LSK+ and LSK-	106.6914413	101.5457366	129.624511	111.5524886	0.95177022	0.860581751	0.906175985
Maged1	chrX	chrX	LSK+ and LSK-	60.16245289	50.40985025	67.21495623	51.78997206	0.837895528	0.770512621	0.804204074
Amer1	chrX	chrX	LSK+ and LSK-	4.270294911	3.75704785	4.190011906	3.443757985	0.879809926	0.821896945	0.850853436
Armcx1	chrX	chrX	LSK+ and LSK-	16.56232393	12.31536541	20.17999537	18.45628203	0.743577137	0.914583065	0.829080101
Armcx6	chrX	chrX	LSK+ and LSK-	6.693895626	4.903650724	8.42837026	6.584390921	0.7325556	0.781217568	0.756886584
Zmat1	chrX	chrX	LSK+ and LSK-	6.007358513	3.63068857	6.553603872	5.473205085	0.604373547	0.835144325	0.719758936
Gprasp2	chrX	chrX	LSK+ and LSK-	8.170572755	4.8281738	9.090667078	7.479717881	0.590922319	0.822790871	0.706856595
Arxes2	chrX	chrX	LSK+ and LSK-	6.40983973	5.100200366	4.995720432	4.760204094	0.795682978	0.952856382	0.87426968
Bex1	chrX	chrX	LSK+ and LSK-	15.62966883	9.091494928	11.15551269	10.04640693	0.581681866	0.900577788	0.741129827
Tceal1	chrX	chrX	LSK+ and LSK-	6.668184044	5.448924431	10.97011224	6.707049576	0.817152675	0.611392977	0.714272826
Slc25a53	chrX	chrX	LSK+ and LSK-	7.07982253	6.285445181	6.027475594	4.599035546	0.887796997	0.76301189	0.825404444
Maged2	chrX	chrX	LSK+ and LSK-	39.10470743	28.36342205	43.17433508	38.50486124	0.725319889	0.891846074	0.808582981
2210013O21Rik	chrX	chrX	LSK+ and LSK-	39.74116429	36.0390805	46.55919557	44.41944582	0.90684511	0.954042382	0.930443746
Tceanc	chrX	chrX	LSK+ and LSK-	6.253668295	6.070176936	8.910467324	8.355306819	0.970658604	0.937695692	0.954177148
Gdi1	chrX	chrX	LSK+ and Lin-	89.83428298	77.56330488	112.0131796	84.14250921	0.863404285	0.751184008	0.807294147
Huwe1	chrX	chrX	LSK+ and Lin-	4.18826614	3.996418636	3.866335483	3.727923469	0.954194051	0.964200723	0.959197387
Gripap1	chrX	chrX	LSK+ and Lin-	27.40600678	21.56353723	28.24564667	28.05239313	0.786817919	0.993158113	0.889988016
Araf	chrX	chrX	LSK+ and Lin-	46.07615675	39.92769832	45.35283128	43.54499097	0.866558783	0.960138314	0.913348549
Ube2a	chrX	chrX	LSK+ and Lin-	38.64523155	34.98865533	41.43994518	39.75665426	0.905380921	0.959379992	0.932380456
Ndufa1	chrX	chrX	LSK+ and Lin-	32.57229963	28.44665141	30.67615822	30.43366559	0.873338749	0.992095078	0.932716913
Gria3	chrX	chrX	LSK+ and Lin-	5.82503675	4.844441444	5.364198537	5.09444305	0.83165852	0.949711875	0.890685198
Slc25a14	chrX	chrX	LSK+ and Lin-	6.159156299	5.994261756	6.485632248	6.087127174	0.973227738	0.938555709	0.955891724
Cxx1a	chrX	chrX	LSK+ and Lin-	2.936651387	2.92425946	2.438416108	2.242967962	0.995780253	0.91984627	0.957813262
1110012L19Rik	chrX	chrX	LSK+ and Lin-	19.32173657	16.27604036	20.47295149	17.18606543	0.842369437	0.839452262	0.840910849
Snora70	chrX	chrX	LSK+ and Lin-	9.468062082	4.988259851	11.9822313	7.025345935	0.526851198	0.586313664	0.556582431
Taz	chrX	chrX	LSK+ and Lin-	86.38238047	83.92301777	103.9709495	83.10630354	0.971529348	0.799322349	0.885425848
Gab3	chrX	chrX	LSK+ and Lin-	5.65222944	2.773567852	4.776916382	4.313542605	0.490703338	0.902997302	0.69685032
Atrx	chrX	chrX	LSK+ and Lin-	18.2361454	15.5432267	18.12040799	17.06652484	0.852330707	0.941839988	0.897085347
Taf9b	chrX	chrX	LSK+ and Lin-	8.910630764	7.016484876	9.932550365	8.758528214	0.787428529	0.881800534	0.834614531
Tceal3	chrX	chrX	LSK+ and Lin-	1.831665969	0.458298841	1.52806421	0.650238296	0.250208744	0.425530742	0.337869743
Zcchc18	chrX	chrX	LSK+ and Lin-	4.176645755	3.652095196	5.543464046	3.226408245	0.874408655	0.582020235	0.728214445
Slc16a2	chrX	chrX	LSK+	1.902558605	1.52063963	2.040853559	1.472782007	0.799260336	0.721650018	0.760455177
Sh3bgrl	chrX	chrX	LSK+	79.87868747	79.63487016	94.46997071	92.06852919	0.996947655	0.974579843	0.985763749
Ppp1r3f	chrX	chrX	LSK+	1.496536262	1.414575508	1.634759474	1.545629755	0.945233032	0.94547839	0.945355711
Slc35a2	chrX	chrX	LSK+	21.78520391	19.25367792	22.79873774	21.12589232	0.883796085	0.926625525	0.905210805
Gm6787	chrX	chrX	LSK+	1.019033087	0.741942606	1.19595689	0.637145083	0.728084903	0.532749206	0.630417054
Wdr13	chrX	chrX	LSK+	19.42439979	19.2214345	22.70312237	18.08722434	0.989551014	0.79668444	0.893117727
Rbm3	chrX	chrX	LSK+	7.227596778	6.276979659	6.183498247	4.779013473	0.868473969	0.772865663	0.820669816
Porcn	chrX	chrX	LSK+	1.987033222	1.137893309	1.953065038	0.875305687	0.572659428	0.448170271	0.510414849
Ftsj1	chrX	chrX	LSK+	16.44485803	16.30679066	15.18527176	15.05892302	0.991604222	0.991679521	0.991641872
Slc38a5	chrX	chrX	LSK+	4.476908219	1.146725498	9.032012042	2.753634251	0.256142284	0.304874953	0.280508619
Fundc1	chrX	chrX	LSK+	55.24190371	46.97541359	67.5391455	64.20829928	0.850358341	0.950682731	0.900520536
Elk1	chrX	chrX	LSK+	6.834102752	6.795879647	8.020032724	6.294958128	0.994407005	0.784904295	0.88965565
A230072C01Rik	chrX	chrX	LSK+	4.211937525	4.015657832	8.674695488	5.975001923	0.953399192	0.688785207	0.821092199
Zfp182	chrX	chrX	LSK+	2.634201086	2.575903464	3.460372335	3.0256422	0.977868955	0.874368972	0.926118963
Gm4907	chrX	chrX	LSK+	3.194449028	3.135077639	4.156570348	3.166947292	0.981414201	0.761913555	0.871663878
Lonrf3	chrX	chrX	LSK+	1.141045007	0.893658557	1.298894122	0.901760821	0.783193084	0.694252754	0.738722919
C1galt1c1	chrX	chrX	LSK+	13.71157733	11.84290656	16.14288891	11.13208874	0.863715842	0.689597061	0.776656451
Thoc2	chrX	chrX	LSK+	16.96364773	15.76632181	17.14297313	16.54443303	0.929418134	0.965085397	0.947251765
Dcaf12l1	chrX	chrX	LSK+	6.237947941	3.282870804	5.010011513	4.798333803	0.526274159	0.957749057	0.742011608
Rbmx	chrX	chrX	LSK+	33.59392814	31.89061291	34.21933534	33.06335886	0.949296932	0.966218617	0.957757774
Ssr4	chrX	chrX	LSK+	74.58676139	70.78434889	73.42723941	67.90759964	0.949020276	0.924828445	0.93692436
Mecp2	chrX	chrX	LSK+	3.136416194	3.118791347	2.932744705	2.796121836	0.994380578	0.953414674	0.973897626
Rpl10	chrX	chrX	LSK+	6.069751151	4.737462769	3.932761508	2.406586008	0.780503624	0.611932863	0.696218243
Lage3	chrX	chrX	LSK+	52.45400339	47.29020914	48.46515155	45.31348128	0.901555765	0.934970382	0.918263074
Ubl4a	chrX	chrX	LSK+	45.58452171	43.0144806	38.41981854	35.41113945	0.943620312	0.921689399	0.932654855
Cmc4	chrX	chrX	LSK+	6.218697973	4.062266772	6.341418946	5.637417387	0.653234293	0.888983591	0.771108942
Pls3	chrX	chrX	LSK+	2.551565657	1.723505792	3.19406851	2.906706703	0.675469897	0.910032673	0.792751285
Prkx	chrX	chrX	LSK+	12.36049123	11.92535445	13.50343224	12.12501587	0.964796159	0.897921037	0.931358598
Pdzd11	chrX	chrX	LSK+	40.36087374	37.87073581	47.95293796	41.3501018	0.938303171	0.86230591	0.90030454
P2ry10	chrX	chrX	LSK+	6.601020418	5.021058913	4.771777098	4.666168335	0.760648899	0.977868044	0.869258471
Rps6ka6	chrX	chrX	LSK+	2.090767177	0.852742993	1.279012998	1.217046547	0.407861288	0.951551351	0.679706319
Nap1l3	chrX	chrX	LSK+	4.564449299	3.952696068	4.737849446	4.134799472	0.865974361	0.872716518	0.86934544
Sytl4	chrX	chrX	LSK+	5.161616868	3.474219364	5.040442578	4.064634558	0.673087417	0.806404298	0.739745857
Armcx2	chrX	chrX	LSK+	15.59199501	12.58396622	15.78419952	15.64555821	0.807078646	0.99121645	0.899147548
Nxf2	chrX	chrX	LSK+	1.397683105	0.921722958	1.055032283	0.416844795	0.659464906	0.39510146	0.527283183
Armcx5	chrX	chrX	LSK+	5.104918069	4.78512604	5.08161901	4.899332962	0.93735609	0.964128352	0.950742221
Bex4	chrX	chrX	LSK+	5.044062339	3.097869214	5.300904582	4.815925547	0.614161564	0.908510137	0.76133585
Tceal5	chrX	chrX	LSK+	2.956095929	1.844171681	2.610525719	2.557059967	0.623853801	0.979519163	0.801686482
