""	"gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"seqnames"	"start"	"end"	"width"	"strand"	"source"	"type"	"score"	"phase"	"gene_id"	"transcript_id"	"exon_number"	"exon_id"
"16"	"Tlr3"	283.540891288077	-0.662464308144312	0.262756603413818	-2.52120898024013	0.0116952371343714	0.0696686298192944	"chr8"	45395665	45410619	14955	"-"	"refGene"	"transcript"	NA	NA	"Tlr3"	"NM_126166"	NA	NA
"17"	"Ifi44"	57.8314668553134	1.07377316555928	0.527234487623567	2.03661405079769	0.0416887336244022	0.188921806553232	"chr3"	151730923	151749910	18988	"-"	"refGene"	"transcript"	NA	NA	"Ifi44"	"NM_133871"	NA	NA
"18"	"Trafd1"	33.4903909879492	-0.275032236033559	0.642522504470174	-0.428050743935189	0.668614176586585	0.918838921932737	"chr5"	121371725	121385615	13891	"-"	"refGene"	"transcript"	NA	NA	"Trafd1"	"NM_172275"	NA	NA
"19"	"Krt80"	8.7888343407862	-0.902274926243197	1.16579491944405	-0.773956817956863	0.438956327841089	0.793474643629821	"chr15"	101348315	101370162	21848	"-"	"refGene"	"transcript"	NA	NA	"Krt80"	"NM_028770"	NA	NA
"20"	"Armc8"	3484.71592339944	-0.632073141066479	0.20080924139227	-3.14762974395066	0.001646000402461	0.0135292296042106	"chr9"	99478391	99568899	90509	"-"	"refGene"	"transcript"	NA	NA	"Armc8"	"NM_028768"	NA	NA
"21"	"Ppil4"	10440.279496944	0.164111010636368	0.192820386803444	0.851108191187577	0.394709255659481	0.759385137894216	"chr10"	7792894	7822563	29670	"+"	"refGene"	"transcript"	NA	NA	"Ppil4"	"NM_026141"	NA	NA
"22"	"C530005A16Rik"	10.9673669764484	-0.0566300369406034	1.01729892747099	-0.0556670565665356	0.955607043842252	0.989657251638244	"chr4"	116589733	116597630	7898	"-"	"refGene"	"transcript"	NA	NA	"C530005A16Rik"	"NR_029450"	NA	NA
"23"	"Katnbl1"	14918.9223042161	0.76832973484983	0.20403264369643	3.76571964627871	0.000166070055340873	0.00176328404884807	"chr2"	112379211	112414237	35027	"+"	"refGene"	"transcript"	NA	NA	"Katnbl1"	"NM_024254"	NA	NA
"24"	"Spag9"	19945.8482245987	0.111368236497517	0.191618584736855	0.581197469183154	0.561107373167389	0.872059174436559	"chr11"	93996091	94126093	130003	"+"	"refGene"	"transcript"	NA	NA	"Spag9"	"NM_001199203"	NA	NA
"25"	"Taz"	155.77801859695	-0.299221113016066	0.326210919682136	-0.917262712442708	0.359004991565603	0.727593759724253	"chrX"	74282718	74290151	7434	"+"	"refGene"	"transcript"	NA	NA	"Taz"	"NM_001242615"	NA	NA
"26"	"Gfpt1"	9873.58310929022	0.0771728489602869	0.19945730352522	0.38691412947197	0.698819780481226	0.929759894904196	"chr6"	87042846	87092207	49362	"+"	"refGene"	"transcript"	NA	NA	"Gfpt1"	"NM_013528"	NA	NA
"27"	"Abcc5"	623.732575133873	-0.0244273202990195	0.217308004957309	-0.112408745843571	0.910499321099506	0.983563069843682	"chr16"	20331304	20426394	95091	"-"	"refGene"	"transcript"	NA	NA	"Abcc5"	"NM_013790"	NA	NA
"28"	"Kcnmb4"	1.76787438368444	-2.73543862065823	2.72580197784099	-1.0035353422206	0.315602633525631	0.684336863381047	"chr10"	116417868	116473523	55656	"-"	"refGene"	"transcript"	NA	NA	"Kcnmb4"	"NM_021452"	NA	NA
"29"	"Gm4013"	9.96189118979135	0.193164509570567	1.0552455833973	0.183051711004263	0.854757444513703	0.971902549242088	"chr18"	42274380	42275197	818	"-"	"refGene"	"transcript"	NA	NA	"Gm4013"	"NR_033452"	NA	NA
"30"	"Hpcal1"	80.5289775402522	0.192463976875045	0.413464162502723	0.465491315402159	0.641579654717508	0.908008954695145	"chr12"	17690809	17791928	101120	"+"	"refGene"	"transcript"	NA	NA	"Hpcal1"	"NM_001361645"	NA	NA
"31"	"Tbc1d31"	1135.25930449751	-0.109356228492163	0.200916872070095	-0.544285939580084	0.586244720978207	0.885704489723801	"chr15"	57912199	57970068	57870	"+"	"refGene"	"transcript"	NA	NA	"Tbc1d31"	"NM_001081396"	NA	NA
"32"	"Tmem176b"	19.7810632026349	-5.38041613378076	1.28259123532596	-4.19495782100316	2.72922370156243e-05	0.000344071759946189	"chr6"	48833812	48841374	7563	"-"	"refGene"	"transcript"	NA	NA	"Tmem176b"	"NM_001164208"	NA	NA
"33"	"Cyp3a13"	40.7222552689086	0.0244433754506062	0.550722061996755	0.0443842314251617	0.964598130761908	0.992652162147567	"chr5"	137892933	137921619	28687	"-"	"refGene"	"transcript"	NA	NA	"Cyp3a13"	"NM_007819"	NA	NA
"34"	"Akap7"	919.86460363757	-0.367059385926671	0.218546546537591	-1.67954786631019	0.0930453183256918	0.33625797406474	"chr10"	25169090	25200170	31081	"-"	"refGene"	"transcript"	NA	NA	"Akap7"	"NM_001347460"	NA	NA
"35"	"Ablim1"	315.783082794495	-2.45893813283282	0.266253678499072	-9.23532079141353	2.57513212598161e-20	1.46436465994061e-18	"chr19"	57032733	57119024	86292	"-"	"refGene"	"transcript"	NA	NA	"Ablim1"	"NM_001347459"	NA	NA
"36"	"Ulk1"	42.6314874224461	-0.228547407387301	0.544048905012162	-0.420086145347893	0.674422523475013	0.921126627413118	"chr5"	110784489	110810081	25593	"-"	"refGene"	"transcript"	NA	NA	"Ulk1"	"NM_001347394"	NA	NA
"37"	"Golga3"	3513.73797628883	-0.127062360946437	0.192212249388956	-0.661052359307842	0.508578735919023	0.840090895999107	"chr5"	110176857	110226469	49613	"+"	"refGene"	"transcript"	NA	NA	"Golga3"	"NM_001347389"	NA	NA
"38"	"Wdyhv1"	237.77349521993	0.374035757369441	0.275644295995198	1.35695083411397	0.174796833099319	0.4959183667521	"chr15"	58141366	58158654	17289	"+"	"refGene"	"transcript"	NA	NA	"Wdyhv1"	"NM_001326602"	NA	NA
"39"	"Rxra"	96.2460909706917	-0.289756521167792	0.390009877298655	-0.74294662272337	0.457513997292053	0.805070190685025	"chr2"	27709292	27763319	54028	"+"	"refGene"	"transcript"	NA	NA	"Rxra"	"NM_001290481"	NA	NA
"40"	"Dapk3"	3.03034613662998	0.445719396000588	1.86370418643869	0.239157801567374	0.81098322272768	0.965000534869611	"chr10"	81183918	81193197	9280	"+"	"refGene"	"transcript"	NA	NA	"Dapk3"	"NM_007828"	NA	NA
"41"	"Ap3m2"	47.2146844183182	-0.186769720275413	0.515640231003533	-0.362209364292473	0.717195582312897	0.934402173532916	"chr8"	22787354	22805654	18301	"-"	"refGene"	"transcript"	NA	NA	"Ap3m2"	"NM_001122820"	NA	NA
"42"	"Sirt2"	61.3918369273623	-0.164907284260678	0.52737532895914	-0.312694347280426	0.754512890584865	0.94887910461927	"chr7"	28766752	28788665	21914	"+"	"refGene"	"transcript"	NA	NA	"Sirt2"	"NM_001122766"	NA	NA
"43"	"Slit3"	226.773380543104	1.01732456065647	0.321082328842314	3.16842276659855	0.0015326846568801	0.0127240243269094	"chr11"	35121456	35708507	587052	"+"	"refGene"	"transcript"	NA	NA	"Slit3"	"NM_011412"	NA	NA
"44"	"Dcakd"	10.8681313986049	0.0439417651171413	1.02315537565814	0.0429473041559068	0.965743540250191	0.992652162147567	"chr11"	102994056	103017147	23092	"-"	"refGene"	"transcript"	NA	NA	"Dcakd"	"NM_026551"	NA	NA
"45"	"Vps35l"	172.590644199138	-0.199402206554875	0.333941103659456	-0.597117888063937	0.550428675777941	0.866678560790707	"chr7"	118740271	118841491	101221	"+"	"refGene"	"transcript"	NA	NA	"Vps35l"	"NM_027815"	NA	NA
"46"	"Cyhr1"	146.079735620701	-0.393980023545765	0.346127829570196	-1.13825006222409	0.255016079781255	0.613067770847043	"chr15"	76643395	76660208	16814	"-"	"refGene"	"transcript"	NA	NA	"Cyhr1"	"NM_019396"	NA	NA
"47"	"Taf10"	32.9481183880553	0.129461126336569	0.672382745738153	0.19254082166318	0.847318594983987	0.9710835806776	"chr7"	105742894	105744338	1445	"-"	"refGene"	"transcript"	NA	NA	"Taf10"	"NM_020024"	NA	NA
"48"	"Hagh"	37.2769349801516	0.225194320795384	0.620776260128738	0.362762456071826	0.71678233981907	0.934402173532916	"chr17"	24850490	24864450	13961	"+"	"refGene"	"transcript"	NA	NA	"Hagh"	"NM_024284"	NA	NA
"49"	"Ogfod3"	11.8913667600078	0.0303168600086279	0.976261351736277	0.0310540409642454	0.97522644197247	0.99527296111124	"chr11"	121177593	121204648	27056	"-"	"refGene"	"transcript"	NA	NA	"Ogfod3"	"NM_025402"	NA	NA
"50"	"Syn1"	3.98192310059304	3.83738478154478	2.13659879527308	1.79602496736142	0.0724905463094409	0.281611056706699	"chrX"	20860511	20920918	60408	"-"	"refGene"	"transcript"	NA	NA	"Syn1"	"NM_001110780"	NA	NA
"51"	"Ccl27a"	25.5542475512557	-0.522995122823925	0.686034054441647	-0.762345716568813	0.445853695337245	0.798418859200516	"chr4"	41773186	41774101	916	"-"	"refGene"	"transcript"	NA	NA	"Ccl27a"	"NM_001164045"	NA	NA
"52"	"Sqor"	43.6781035117017	0.684392928117028	0.563728068111841	1.21404799021156	0.224729398929662	0.57183973512576	"chr2"	122765359	122809551	44193	"+"	"refGene"	"transcript"	NA	NA	"Sqor"	"NM_001162503"	NA	NA
"53"	"Fundc2"	8003.10608160196	0.13189640220701	0.194034140451498	0.679758736787765	0.496657237881304	0.832992268757091	"chrX"	75382399	75397158	14760	"+"	"refGene"	"transcript"	NA	NA	"Fundc2"	"NM_026126"	NA	NA
"54"	"Rab5if"	2039.14684260528	0.338062772156103	0.206278949076998	1.63886219931203	0.101241961768759	0.354051556627889	"chr2"	156863122	156873562	10441	"+"	"refGene"	"transcript"	NA	NA	"Rab5if"	"NM_026124"	NA	NA
"55"	"H1f5"	317.294858821596	-0.268192409374293	0.377649876533126	-0.710161517425434	0.477603981645377	0.818866406724833	"chr13"	21779832	21780625	794	"-"	"refGene"	"transcript"	NA	NA	"H1f5"	"NM_020034"	NA	NA
"56"	"Pop4"	1371.33169099104	-0.4692411313519	0.225665769068161	-2.07936335798527	0.0375839657222215	0.17550162766816	"chr7"	38262820	38271348	8529	"-"	"refGene"	"transcript"	NA	NA	"Pop4"	"NM_025390"	NA	NA
"57"	"Carnmt1"	15236.8948203779	-0.0385579504236392	0.205306883827378	-0.187806417908806	0.851028404530102	0.971746271103434	"chr19"	18670780	18704792	34013	"+"	"refGene"	"transcript"	NA	NA	"Carnmt1"	"NM_026120"	NA	NA
"58"	"Clcc1"	2202.04382572222	0.105408642050404	0.184642437050506	0.570879824455369	0.568081108048732	0.8750592365238	"chr3"	108653940	108678011	24072	"+"	"refGene"	"transcript"	NA	NA	"Clcc1"	"NM_001177770"	NA	NA
"59"	"Ilf3"	2927.49519513302	-0.114412920565846	0.182305325501518	-0.627589568495045	0.530272844018971	0.853310314587221	"chr9"	21367871	21405363	37493	"+"	"refGene"	"transcript"	NA	NA	"Ilf3"	"NM_001277321"	NA	NA
"60"	"Tpd52l2"	3357.42405327855	0.390759132605579	0.18906577688867	2.06678934197422	0.0387540082047391	0.179277786508547	"chr2"	181497142	181517962	20821	"+"	"refGene"	"transcript"	NA	NA	"Tpd52l2"	"NM_001291201"	NA	NA
"61"	"Banf1"	307.110128559226	-0.0915753151370213	0.330550986380872	-0.277038396223405	0.781750623613792	0.956835227004448	"chr19"	5364633	5366876	2244	"-"	"refGene"	"transcript"	NA	NA	"Banf1"	"NM_001286608"	NA	NA
"62"	"Tbc1d23"	4051.80828437639	-0.0649892922081308	0.195311421820055	-0.332747012962749	0.739325258533355	0.941510931929706	"chr16"	57168864	57231466	62603	"-"	"refGene"	"transcript"	NA	NA	"Tbc1d23"	"NM_001358433"	NA	NA
"63"	"Pard3"	1877.46830349878	-0.049898310949474	0.196818983167708	-0.253523873288971	0.799863415401505	0.962379744274676	"chr8"	127064056	127612286	548231	"+"	"refGene"	"transcript"	NA	NA	"Pard3"	"NM_001309392"	NA	NA
"64"	"Evi5l"	13.5801975821596	-1.04878311715127	0.983674090441222	-1.0661896326667	0.286337927712385	0.648542784319597	"chr8"	4166567	4208089	41523	"+"	"refGene"	"transcript"	NA	NA	"Evi5l"	"NM_001346730"	NA	NA
"65"	"Mtmr1"	2373.29205684293	-0.0863008538779392	0.194178332345915	-0.44444121460576	0.656723621246781	0.91402561080366	"chrX"	71364760	71419196	54437	"+"	"refGene"	"transcript"	NA	NA	"Mtmr1"	"NM_001313703"	NA	NA
"66"	"Mtor"	578.546282042524	0.411217490532778	0.226468686911075	1.81578078692286	0.0694040056746657	0.274694753684021	"chr4"	148448582	148557685	109104	"+"	"refGene"	"transcript"	NA	NA	"Mtor"	"NM_020009"	NA	NA
"67"	"Zfp758"	3486.75737583743	-0.113959086394023	0.226093403240114	-0.504035432971022	0.614236477812686	0.897607507458987	"chr17"	22361463	22377281	15819	"+"	"refGene"	"transcript"	NA	NA	"Zfp758"	"NM_001357990"	NA	NA
"68"	"Plekhh2"	792.439036902689	-0.401976822689219	0.210594427680907	-1.90877235981902	0.0562914639547621	0.235084264707449	"chr17"	84511895	84622138	110244	"+"	"refGene"	"transcript"	NA	NA	"Plekhh2"	"NM_001357987"	NA	NA
"69"	"Adgrl3"	2542.1074497162	0.609634495628977	0.212348870052051	2.87091000521708	0.00409292030555291	0.029223247859052	"chr5"	81020752	81825133	804382	"+"	"refGene"	"transcript"	NA	NA	"Adgrl3"	"NM_001359830"	NA	NA
"70"	"Golga5"	1255.72275829793	0.152459757149996	0.198716944895421	0.767220718043101	0.442950296805238	0.796915683398874	"chr12"	102469910	102497907	27998	"+"	"refGene"	"transcript"	NA	NA	"Golga5"	"NM_013747"	NA	NA
"71"	"Nufip1"	2817.7182142144	0.437641047362964	0.214497181803465	2.04031140961076	0.0413193191306781	0.187645531670791	"chr14"	76110891	76137379	26489	"+"	"refGene"	"transcript"	NA	NA	"Nufip1"	"NM_013745"	NA	NA
"72"	"Smap1"	4731.71230912335	-0.0518044076020518	0.204288686773775	-0.253584319426454	0.799816712023964	0.962379744274676	"chr1"	23845625	23922381	76757	"-"	"refGene"	"transcript"	NA	NA	"Smap1"	"NM_028534"	NA	NA
"73"	"Hars2"	835.633332797033	-0.0198816819325117	0.205508755535217	-0.0967437220897611	0.922929917447977	0.986273755726224	"chr18"	36783209	36792560	9352	"+"	"refGene"	"transcript"	NA	NA	"Hars2"	"NM_080636"	NA	NA
"74"	"Sdhb"	347.677108664292	0.361691114818803	0.271384327398633	1.33276345869273	0.182609440842241	0.508407390656413	"chr4"	140961271	140979198	17928	"+"	"refGene"	"transcript"	NA	NA	"Sdhb"	"NM_023374"	NA	NA
"75"	"Gmpr"	5.80543139811388	3.37060981540413	1.64661489384341	2.04699339718511	0.0406587328483783	0.18564176118363	"chr13"	45507444	45546386	38943	"+"	"refGene"	"transcript"	NA	NA	"Gmpr"	"NM_025508"	NA	NA
"76"	"Me1"	7310.10243427952	-0.413060298767214	0.196569955194667	-2.10133994464288	0.035611135675655	0.168703637718354	"chr9"	86581363	86687277	105915	"-"	"refGene"	"transcript"	NA	NA	"Me1"	"NM_001198933"	NA	NA
"77"	"Magt1"	14888.1545702537	0.0854687778063899	0.190106117526564	0.449584573702353	0.653010013330126	0.912196248780614	"chrX"	105968085	106011802	43718	"-"	"refGene"	"transcript"	NA	NA	"Magt1"	"NM_001190409"	NA	NA
"78"	"Mcam"	386.150580836848	-4.13321891451567	0.286242957753108	-14.43954795241	2.9174930311026e-47	5.59652963179642e-45	"chr9"	44134658	44142726	8069	"+"	"refGene"	"transcript"	NA	NA	"Mcam"	"NM_001359530"	NA	NA
"79"	"Pbld1"	259.620241034933	-0.234283622791434	0.351703196378417	-0.666140157962498	0.505321518432504	0.838753431180216	"chr10"	63060713	63077960	17248	"+"	"refGene"	"transcript"	NA	NA	"Pbld1"	"NM_001359529"	NA	NA
"80"	"Tab2"	5028.48262038602	-0.0775899818066219	0.187903798709315	-0.412923966091035	0.679662321486679	0.92186615976028	"chr10"	7905653	7953065	47413	"-"	"refGene"	"transcript"	NA	NA	"Tab2"	"NM_001359534"	NA	NA
"81"	"Mettl27"	8.31148844348004	0.219094317454913	1.14776381383146	0.19088798132042	0.848613356550482	0.9710835806776	"chr5"	134932373	134942637	10265	"+"	"refGene"	"transcript"	NA	NA	"Mettl27"	"NM_001359535"	NA	NA
"82"	"Trmt1"	99.9133737657652	-0.439621021666562	0.385575971366967	-1.14016705996484	0.254216707968919	0.611975254742033	"chr8"	84689247	84699808	10562	"+"	"refGene"	"transcript"	NA	NA	"Trmt1"	"NM_198020"	NA	NA
"83"	"Vps37c"	58.5301398192791	-0.0618221255594683	0.475131355727666	-0.130115861254384	0.896474761335266	0.980607806002016	"chr19"	10688735	10714628	25894	"+"	"refGene"	"transcript"	NA	NA	"Vps37c"	"NM_001361960"	NA	NA
"84"	"Sec23a"	11885.6868923059	-0.322445906560191	0.198972839751822	-1.62055236766172	0.105113674702059	0.363008293123008	"chr12"	58958384	59012017	53634	"-"	"refGene"	"transcript"	NA	NA	"Sec23a"	"NM_001361956"	NA	NA
"85"	"Rara"	110.151161340875	-0.266024631609487	0.394909599173584	-0.673634249879438	0.500543872750095	0.834839403808906	"chr11"	98964872	98974942	10071	"+"	"refGene"	"transcript"	NA	NA	"Rara"	"NM_001361954"	NA	NA
"86"	"Med1"	4665.43199303437	0.0339510158644909	0.18125322164747	0.187312620189031	0.851415528628821	0.971746271103434	"chr11"	98157459	98193293	35835	"-"	"refGene"	"transcript"	NA	NA	"Med1"	"NM_001361951"	NA	NA
"87"	"Ap5b1"	2.29580619074927	-1.18136837101689	2.38329521750073	-0.495686964141921	0.620115285742314	0.900396226671403	"chr19"	5568024	5571261	3238	"+"	"refGene"	"transcript"	NA	NA	"Ap5b1"	"NM_001362046"	NA	NA
"88"	"Bag5"	1097.48309244147	0.0195598682992855	0.221748049666995	0.0882076226990907	0.929711658897445	0.987139969801854	"chr12"	111709491	111712953	3463	"-"	"refGene"	"transcript"	NA	NA	"Bag5"	"NM_001324482"	NA	NA
"89"	"Pdcd2l"	213.472021643501	-0.109098269889209	0.322810492536119	-0.337963828350474	0.73539044635937	0.940366398699872	"chr7"	34184497	34196670	12174	"-"	"refGene"	"transcript"	NA	NA	"Pdcd2l"	"NM_001360710"	NA	NA
"90"	"Ctcf"	10443.8795415808	-0.389546131102286	0.194598679990303	-2.00179225841458	0.0453070789160418	0.200687482871026	"chr8"	105636538	105682922	46385	"+"	"refGene"	"transcript"	NA	NA	"Ctcf"	"NM_001358924"	NA	NA
"91"	"Mnd1"	985.895953280716	0.653558798206234	0.208776565217957	3.13042221728256	0.00174555218967886	0.014244616762853	"chr3"	84087934	84155786	67853	"-"	"refGene"	"transcript"	NA	NA	"Mnd1"	"NM_029797"	NA	NA
"92"	"Tktl1"	57.2739729912201	1.90723956281852	0.506913503431397	3.76245562587708	0.000168253167802896	0.00178383074810632	"chrX"	74177259	74208498	31240	"+"	"refGene"	"transcript"	NA	NA	"Tktl1"	"NM_031379"	NA	NA
"93"	"Lix1"	38.6645616521682	-0.341261672978625	0.561960614447055	-0.607269734222231	0.543671920449742	0.862641559078254	"chr17"	17402686	17459388	56703	"+"	"refGene"	"transcript"	NA	NA	"Lix1"	"NM_025681"	NA	NA
"94"	"Ctnnbl1"	48.0020279863744	0.320066182119025	0.55483115486005	0.576871322591391	0.564026384360277	0.872819399826238	"chr2"	157737401	157891903	154503	"+"	"refGene"	"transcript"	NA	NA	"Ctnnbl1"	"NM_025680"	NA	NA
"95"	"Raet1e"	126.466437129984	-3.87095251071137	0.437824854967718	-8.84132654140157	9.45887667665459e-19	4.89513880384999e-17	"chr10"	22173497	22183914	10418	"+"	"refGene"	"transcript"	NA	NA	"Raet1e"	"NM_198193"	NA	NA
"96"	"Ppm1m"	143.551052431935	-0.0750154764482105	0.38901857718195	-0.192832632805411	0.847090045813262	0.9710835806776	"chr9"	106194953	106198939	3987	"-"	"refGene"	"transcript"	NA	NA	"Ppm1m"	"NM_198931"	NA	NA
"97"	"Prkar1a"	23773.5533421025	0.499477088431927	0.198976161988891	2.51023581638796	0.0120650561396139	0.0715498609565642	"chr11"	109649023	109669663	20641	"+"	"refGene"	"transcript"	NA	NA	"Prkar1a"	"NM_021880"	NA	NA
"98"	"Slc27a3"	2.56734410039828	-3.3263564443539	2.43630436852738	-1.36532876898485	0.172149740752158	0.492278163609116	"chr3"	90385233	90389938	4706	"-"	"refGene"	"transcript"	NA	NA	"Slc27a3"	"NM_011988"	NA	NA
"99"	"Impdh2"	1340.1095388639	-0.167772092035719	0.586095141066514	-0.286254023076229	0.774683569564711	0.955263557379283	"chr9"	108560436	108565584	5149	"+"	"refGene"	"transcript"	NA	NA	"Impdh2"	"NM_011830"	NA	NA
"100"	"Tiprl"	3854.94802659345	0.241064620736921	0.193764423554276	1.24411187727346	0.213458390305516	0.55424349504131	"chr1"	165214918	165236960	22043	"-"	"refGene"	"transcript"	NA	NA	"Tiprl"	"NM_001357410"	NA	NA
"101"	"Uaca"	788.084794520836	0.852521955657215	0.2219544910299	3.8409763717841	0.00012254591113942	0.00133565759360821	"chr9"	60794442	60880431	85990	"+"	"refGene"	"transcript"	NA	NA	"Uaca"	"NM_001357407"	NA	NA
"102"	"Phf3"	9510.97312428133	0.0645074872447383	0.179774939275755	0.358823579663631	0.719727071760104	0.934456581663443	"chr1"	30802342	30863256	60915	"-"	"refGene"	"transcript"	NA	NA	"Phf3"	"NM_001081080"	NA	NA
"103"	"9330020H09Rik"	58.0953715009371	0.309536347988349	0.468903131831639	0.660128557425564	0.509171333993589	0.840459841918972	"chr15"	98567324	98570864	3541	"+"	"refGene"	"transcript"	NA	NA	"9330020H09Rik"	"NR_028442"	NA	NA
"104"	"Gm7443"	3.86580841937393	0.145986121168414	1.68968063671704	0.0863986471739757	0.931149522309566	0.987139969801854	"chr6"	83793352	83794270	919	"-"	"refGene"	"transcript"	NA	NA	"Gm7443"	"NR_136916"	NA	NA
"105"	"Ube2q2"	7949.10009837593	-0.113857897349656	0.190214456831163	-0.598576465987113	0.549455353564807	0.866678560790707	"chr9"	55149369	55207529	58161	"+"	"refGene"	"transcript"	NA	NA	"Ube2q2"	"NM_001346657"	NA	NA
"106"	"Rfx3"	2107.55842307587	-0.0997158204960737	0.241397731534408	-0.413076874675853	0.67955029176246	0.92186615976028	"chr19"	27761721	28011166	249446	"-"	"refGene"	"transcript"	NA	NA	"Rfx3"	"NM_001166414"	NA	NA
"107"	"Bri3"	293.785367376861	-0.100153835971259	0.264179210138917	-0.37911323876922	0.704603775724548	0.931037336641171	"chr5"	144244437	144264573	20137	"+"	"refGene"	"transcript"	NA	NA	"Bri3"	"NM_001163709"	NA	NA
"108"	"Eps15l1"	603.97645413685	-0.0386601279327577	0.21787962719879	-0.177438012125313	0.859164351637186	0.973561639141569	"chr8"	72340997	72421474	80478	"-"	"refGene"	"transcript"	NA	NA	"Eps15l1"	"NM_007944"	NA	NA
"109"	"Max"	1848.75133928725	0.239614709391986	0.200474025048833	1.19524067685885	0.231993010115041	0.582164515706685	"chr12"	76937269	76962248	24980	"-"	"refGene"	"transcript"	NA	NA	"Max"	"NM_008558"	NA	NA
"110"	"Ttc8"	1831.67837214039	0.66597016984203	0.204347019065812	3.25901582947755	0.00111799429727092	0.00963725821140607	"chr12"	98920574	98983238	62665	"+"	"refGene"	"transcript"	NA	NA	"Ttc8"	"NM_001364378"	NA	NA
"111"	"Vti1b"	1625.86853914424	-0.157394926306946	0.206815217380087	-0.761041321334129	0.446632386800598	0.798645118752409	"chr12"	79156017	79172458	16442	"-"	"refGene"	"transcript"	NA	NA	"Vti1b"	"NM_001364374"	NA	NA
