gene_name	Chromosome	seqnames	Cell Type	Lin- WT rep1 (FPKM)	Lin- XistΔ/Δ rep1 (FPK	Lin- WT rep2 (FPKM)	Lin- XistΔ/Δ rep2 (FPK	FoldChange_1	FoldChange_2	FoldChange
Zdhhc9	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	12.34013096	24.15237734	18.16839415	24.54717609	1.957222125	1.351092225	1.654157175
Aifm1	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	19.18536765	27.27094452	14.82116229	23.58551434	1.421444979	1.591340401	1.50639269
Pcyt1b	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	2.285562253	6.269946272	2.538112519	5.230804905	2.743283962	2.060903473	2.402093717
F630028O10Rik	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	64.15664319	67.4464116	86.55630894	91.53550288	1.051277128	1.057525488	1.054401308
Nono	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	118.1760604	118.7532166	100.0821577	114.7669549	1.004883867	1.146727425	1.075805646
Ercc6l	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	14.71213329	15.05612634	13.12589505	18.54476471	1.023381589	1.412838107	1.218109848
Magt1	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	19.69974872	24.28761412	18.54036109	20.48941011	1.232889539	1.105124653	1.169007096
Btk	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	32.16179028	36.74658452	32.49838652	39.94197948	1.142554074	1.229045001	1.185799538
Acsl4	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	17.0381568	22.39141608	15.99392245	19.73171902	1.314192394	1.233701056	1.273946725
Iqsec2	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	2.693378065	7.699254992	2.909645797	4.665054472	2.858586803	1.603306656	2.23094673
Rps6ka3	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	29.39939179	31.81764129	32.57511387	33.75120475	1.082255086	1.036103968	1.059179527
Ofd1	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	4.356668261	5.227109935	4.779703427	5.150416629	1.199795262	1.077559875	1.138677568
Arhgap6	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	7.649200458	8.849276688	6.970469878	16.90047377	1.156889107	2.424581709	1.790735408
Hccs	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	11.42638185	11.97635833	11.39103194	12.58821758	1.048132163	1.105098962	1.076615563
Usp9x	chrX	chrX	LSK+ and Lin-	27.76499786	29.19187218	27.45184144	31.87709119	1.051391119	1.16120047	1.106295795
Uba1	chrX	chrX	LSK+ and Lin-	138.3583442	139.0163158	125.0629316	129.6791492	1.004755562	1.036911158	1.02083336
Flna	chrX	chrX	LSK+ and Lin-	155.5156902	184.7170935	229.3791825	235.2061353	1.187771429	1.025403146	1.106587287
Kif4	chrX	chrX	LSK+ and Lin-	19.94322767	20.50216302	17.81756425	20.09120956	1.028026324	1.127606966	1.077816645
Ccdc22	chrX	chrX	LSK+ and Lin-	10.1959117	10.79984097	6.405808982	7.153948314	1.059232493	1.116790765	1.088011629
Atp6ap2	chrX	chrX	LSK+ and Lin-	23.38540759	29.32875206	29.49701906	33.05559158	1.254147568	1.120641768	1.187394668
Slc25a5	chrX	chrX	LSK+ and Lin-	270.2880027	311.4761417	249.0761858	274.7060328	1.152386116	1.102899629	1.127642873
Bcorl1	chrX	chrX	LSK+ and Lin-	15.50950341	18.29819259	14.96712866	22.0160262	1.179805188	1.470958572	1.32538188
Hprt	chrX	chrX	LSK+ and Lin-	49.05992901	51.02702753	35.89136949	49.39833269	1.040095829	1.376329	1.208212415
Fam122b	chrX	chrX	LSK+ and Lin-	11.00185365	11.97476356	9.606390845	11.17164794	1.088431453	1.162939144	1.125685299
BC023829	chrX	chrX	LSK+ and Lin-	8.539691046	10.96516999	8.773226038	9.993379193	1.284024203	1.139076908	1.211550556
Naa10	chrX	chrX	LSK+ and Lin-	45.42474926	63.34826398	36.49369965	50.07335952	1.394575975	1.372109706	1.383342841
Slc10a3	chrX	chrX	LSK+ and Lin-	6.440056117	11.21291233	6.396688229	7.355344656	1.741120283	1.149867618	1.44549395
Fundc2	chrX	chrX	LSK+ and Lin-	6.815188557	8.080786321	6.089705847	8.595960943	1.185702531	1.411556019	1.298629275
Brcc3	chrX	chrX	LSK+ and Lin-	9.975013413	12.59182657	9.894936462	11.83798296	1.262336806	1.196367759	1.229352282
Tbl1x	chrX	chrX	LSK+ and Lin-	34.72368192	37.58872655	28.78394538	34.74131856	1.082509817	1.206968611	1.144739214
Snx12	chrX	chrX	LSK+ and Lin-	20.23445517	24.72598832	20.90375183	21.08409063	1.221974504	1.008627102	1.115300803
Cxcr3	chrX	chrX	LSK+ and Lin-	2.721802313	4.645690458	2.566191079	3.35234706	1.706843453	1.306351303	1.506597378
Atp7a	chrX	chrX	LSK+ and Lin-	6.5651807	13.44612776	9.94727721	12.06598751	2.048097132	1.212993994	1.630545563
Pgk1	chrX	chrX	LSK+ and Lin-	3.476143326	11.63945642	5.332956859	7.260942909	3.348382197	1.361522904	2.35495255
Prps1	chrX	chrX	LSK+ and Lin-	35.31273341	39.88378481	24.56494532	34.34306984	1.129444848	1.398051956	1.263748402
Kantr	chrX	chrX	LSK+ and Lin-	4.729206642	6.033139941	6.441607974	7.869962137	1.275719248	1.22173876	1.248729004
Ubqln2	chrX	chrX	LSK+ and Lin-	31.55465337	33.70115395	33.84839164	34.54429138	1.068024851	1.020559315	1.044292083
Eif1ax	chrX	chrX	LSK+ and Lin-	76.3768243	80.72263441	63.64641487	77.74277037	1.056899592	1.221479176	1.139189384
Ap1s2	chrX	chrX	LSK+ and Lin-	16.59842896	17.99124624	24.26449467	24.39297676	1.083912597	1.005295066	1.044603831
Tlr7	chrX	chrX	LSK+ and Lin-	7.807224754	20.56938896	13.61361312	21.31598581	2.634660792	1.565784603	2.100222698
Prps2	chrX	chrX	LSK+ and Lin-	15.12047447	20.67681567	15.55171819	17.83864884	1.367471352	1.147053247	1.257262299
Sat1	chrX	chrX	LSK- and Lin-	21.80946958	26.43118196	26.76973887	33.66509841	1.211913103	1.257580381	1.234746742
2610002M06Rik	chrX	chrX	LSK- and Lin-	9.396593009	11.5337892	9.12237298	11.0960556	1.227443733	1.216356273	1.221900003
Tfe3	chrX	chrX	LSK- and Lin-	23.47800344	29.07853695	25.51773009	27.0519922	1.238543857	1.060125336	1.149334597
Mospd1	chrX	chrX	LSK- and Lin-	8.342404636	8.927133115	8.619040043	10.54708445	1.070091119	1.223695956	1.146893538
Htatsf1	chrX	chrX	LSK- and Lin-	25.18482693	28.10896222	19.48671304	23.49233769	1.116107023	1.205556711	1.160831867
Arhgap4	chrX	chrX	LSK- and Lin-	27.49536821	40.12981872	35.13804446	38.63519837	1.459511959	1.09952614	1.279519049
Irak1	chrX	chrX	LSK- and Lin-	30.75609279	34.0676929	28.95844131	34.24595867	1.107672978	1.182589847	1.145131413
Ubl4a	chrX	chrX	LSK- and Lin-	10.40442553	12.33275578	7.955564166	11.54824031	1.185337503	1.451592881	1.318465192
Klhl15	chrX	chrX	LSK- and Lin-	2.951295521	2.970351259	2.543778524	2.626209096	1.006456737	1.032404776	1.019430756
Las1l	chrX	chrX	LSK- and Lin-	20.97345664	24.75017827	17.49481232	18.41585119	1.180071492	1.052646399	1.116358946
Nhsl2	chrX	chrX	LSK- and Lin-	19.68027352	30.39325047	30.84726714	34.73779812	1.544351019	1.126122387	1.335236703
Hdac8	chrX	chrX	LSK- and Lin-	6.813550521	7.601367578	9.637073866	12.39173223	1.115625041	1.285839707	1.200732374
Cox7b	chrX	chrX	LSK- and Lin-	64.76642793	89.51485731	45.66827631	66.48692016	1.382118177	1.455866644	1.41899241
Tsc22d3	chrX	chrX	LSK- and Lin-	32.6750189	71.23238431	61.70335567	80.4527408	2.180025803	1.303863298	1.74194455
Alas2	chrX	chrX	LSK- and Lin-	11.12667305	26.67888205	5.613431068	17.44801589	2.39774117	3.108262253	2.753001711
Tspyl2	chrX	chrX	LSK- and Lin-	3.561605597	4.597161477	4.580412703	5.482227237	1.290755349	1.196884995	1.243820172
Syap1	chrX	chrX	LSK- and Lin-	8.500321786	13.05303582	12.20379879	12.6902108	1.535593139	1.039857426	1.287725283
Cfp	chrX	chrX	Lin-	35.87982667	61.96190999	49.99337772	54.39965471	1.726928911	1.088137213	1.407533062
Hsd17b10	chrX	chrX	Lin-	61.46056745	78.41656185	65.34186336	73.24181616	1.275884117	1.12090186	1.198392989
2010204K13Rik	chrX	chrX	Lin-	4.456305269	6.35128807	2.026465524	4.31004092	1.425236308	2.126876016	1.776056162
Wdr45	chrX	chrX	Lin-	12.06113934	13.08441686	10.62645587	13.02880778	1.084840867	1.226072731	1.155456799
Praf2	chrX	chrX	Lin-	6.516025364	13.96535297	9.415218887	11.69208793	2.14323183	1.241828583	1.692530207
Pim2	chrX	chrX	Lin-	4.97321828	7.278399169	7.417771666	8.032404981	1.463518945	1.082859562	1.273189253
Rbm3	chrX	chrX	Lin-	4.844724888	5.626434199	6.175223508	7.351355157	1.161352673	1.19045977	1.175906221
Tbc1d25	chrX	chrX	Lin-	6.81631189	7.414456857	6.682673899	7.08933641	1.087751995	1.060853263	1.074302629
Ftsj1	chrX	chrX	Lin-	14.56706221	15.88497337	11.85455403	12.61135276	1.090471993	1.063840338	1.077156165
Gpr34	chrX	chrX	Lin-	1.725133164	3.290235241	3.159580112	4.162152925	1.907235516	1.317312041	1.612273778
Maoa	chrX	chrX	Lin-	1.613150836	2.535457725	1.547530898	1.786247482	1.571742499	1.154256426	1.362999462
Fundc1	chrX	chrX	Lin-	9.04631079	13.95026507	10.78884383	12.1317061	1.542094385	1.124467672	1.333281028
Elk1	chrX	chrX	Lin-	3.137719654	3.960245095	3.754494122	3.770754339	1.262141151	1.004330868	1.133236009
Wdr44	chrX	chrX	Lin-	8.532544552	9.760859393	9.176813719	10.22658993	1.143956452	1.114394412	1.129175432
Lonrf3	chrX	chrX	Lin-	1.771544396	2.201789816	2.401047556	2.679703613	1.2428646	1.116056034	1.179460317
Rpl39	chrX	chrX	Lin-	114.2681796	119.5948127	72.85886043	108.2277894	1.046615192	1.485444443	1.266029818
Thoc2	chrX	chrX	Lin-	24.46379889	25.37170279	23.74835831	25.11854682	1.037112138	1.057696136	1.047404137
Frmd7	chrX	chrX	Lin-	6.253375697	7.452253765	4.823451535	6.032155936	1.191716942	1.250589105	1.221153024
Mtap7d3	chrX	chrX	Lin-	2.167248687	3.859244211	1.811428354	4.330762271	1.780711293	2.390799648	2.08575547
Vma21	chrX	chrX	Lin-	7.587920688	7.865244712	7.906084949	8.996328564	1.036548092	1.137899304	1.087223698
Bcap31	chrX	chrX	Lin-	50.84069749	57.05209761	49.27624893	57.16558633	1.122173779	1.160104261	1.14113902
Ssr4	chrX	chrX	Lin-	74.27250786	93.03043416	75.01606217	83.83438347	1.252555445	1.117552442	1.185053944
L1cam	chrX	chrX	Lin-	8.150153155	10.57487534	9.853265105	11.52555245	1.297506334	1.169719106	1.23361272
Renbp	chrX	chrX	Lin-	3.146147737	3.703360367	3.08517302	4.702455759	1.177109493	1.524211358	1.350660426
Lage3	chrX	chrX	Lin-	25.79590485	26.70502116	18.82110622	25.03604471	1.03524266	1.330211116	1.182726888
Cmc4	chrX	chrX	Lin-	2.024173309	2.292947711	1.555838706	2.142497468	1.132782307	1.377069139	1.254925723
Vbp1	chrX	chrX	Lin-	32.13459206	34.33713237	26.15857078	27.29765494	1.068541101	1.043545351	1.056043226
Prrg1	chrX	chrX	Lin-	1.935957852	2.53067668	1.119920674	1.703923124	1.307196165	1.521467693	1.414331929
Pdk3	chrX	chrX	Lin-	27.15624839	31.98128595	25.6587947	26.18390266	1.177676882	1.020465028	1.099070955
Maged1	chrX	chrX	Lin-	5.026863771	6.085609189	5.304858067	5.540479035	1.210617487	1.044416074	1.127516781
Yipf6	chrX	chrX	Lin-	7.359931566	7.887968603	5.88645988	7.138609001	1.07174483	1.212716836	1.142230833
Igbp1	chrX	chrX	Lin-	41.62980434	49.14837331	38.66324524	46.78060115	1.180605436	1.209950196	1.195277816
Rps4x	chrX	chrX	Lin-	251.6933346	261.2288916	188.258315	256.6735561	1.037885616	1.363411523	1.20064857
Magee1	chrX	chrX	Lin-	1.361964666	1.560839867	1.733558763	2.101849805	1.146020823	1.212447971	1.179234397
Cysltr1	chrX	chrX	Lin-	1.525040302	3.255611579	1.683043797	2.908445707	2.134770848	1.728086763	1.931428806
P2ry10	chrX	chrX	Lin-	2.577051153	4.58536573	2.6081418	3.169990375	1.779307223	1.215421023	1.497364123
Gpr174	chrX	chrX	Lin-	0.737387087	1.159893478	0.95862775	1.285830876	1.572977745	1.341324487	1.457151116
Brwd3	chrX	chrX	Lin-	10.97329079	11.14724051	12.68214693	13.05049275	1.015852101	1.029044437	1.022448269
Hmgn5	chrX	chrX	Lin-	40.13467576	41.057881	33.58609187	38.55206732	1.023002683	1.147858091	1.085430387
Timm8a1	chrX	chrX	Lin-	4.393876254	7.398372782	2.742362994	3.482477238	1.683791794	1.269881939	1.476836867
Hnrnph2	chrX	chrX	Lin-	35.90790976	38.0838234	33.26888604	37.89050594	1.060597057	1.138917182	1.099757119
Armcx4	chrX	chrX	Lin-	0.981091712	1.008039303	0.774606441	1.060500372	1.027466945	1.369082823	1.198274884
Zmat1	chrX	chrX	Lin-	1.962899162	3.524922692	3.030954123	3.697949694	1.7957737	1.220061256	1.507917478
Ngfrap1	chrX	chrX	Lin-	78.80318174	80.95085217	56.80573622	61.217438	1.0272536	1.077662963	1.052458282
D330045A20Rik	chrX	chrX	Lin-	0.985444245	1.227670058	1.052001693	1.431635783	1.245803671	1.360868326	1.303335998
Psmd10	chrX	chrX	Lin-	8.12391392	10.46269881	9.959244397	11.72643431	1.28788893	1.177442167	1.232665549
Nxt2	chrX	chrX	Lin-	3.559024723	5.680315873	5.17851352	5.596626575	1.596031586	1.080739975	1.338385781
Mir652	chrX	chrX	Lin-	3.34112525	8.689517375	0	6.500795138	2.600775704	#DIV/0!	#DIV/0!
Maged2	chrX	chrX	Lin-	4.214888358	5.256621622	3.285865994	6.407227536	1.247155601	1.949935739	1.59854567
Tsr2	chrX	chrX	Lin-	3.313026431	3.978730689	3.074595909	4.241605098	1.20093539	1.379565063	1.290250226
Fam120c	chrX	chrX	Lin-	5.400878896	6.402479196	5.070461841	5.846976142	1.185451353	1.153144689	1.169298021
Mir3113	chrX	chrX	Lin-	49.00683385	67.85191857	18.75642888	40.23650043	1.384539935	2.145211154	1.764875545
Rbbp7	chrX	chrX	Lin-	58.87115631	61.21928174	49.58747965	69.07285585	1.039885838	1.392949518	1.216417678
Mospd2	chrX	chrX	Lin-	5.72982981	7.778978052	9.403418533	9.484310157	1.357628116	1.008602363	1.18311524
Tmsb4x	chrX	chrX	Lin-	2526.039045	3162.187425	3559.686393	3920.533168	1.251836321	1.101370384	1.176603352
Tlr8	chrX	chrX	Lin-	10.12203311	34.35114009	20.90401152	31.82027374	3.393699638	1.522208965	2.457954302
Xist	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	152.6800353	1.821833925	153.6395471	1.763537505	0.011932365	0.011478409	0.011705387
Prickle3	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	9.08585046	8.06815078	9.871748173	8.864459074	0.887990708	0.89796244	0.892976574
B630019K06Rik	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	2.052707024	1.14108134	1.01621672	0.74797306	0.55589099	0.736036955	0.645963972
Cxx1c	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	8.082575054	5.913699325	9.397237186	9.190339793	0.731660304	0.977983168	0.854821736
Efnb1	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	4.070939238	2.831813137	2.356735986	2.048970094	0.695616655	0.86941011	0.782513383
Itm2a	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	3.46088985	2.52201883	2.439667346	2.342198248	0.728719762	0.960048202	0.844383982
Tspan6	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	2.484049871	1.771090893	1.254659705	0.891355007	0.71298524	0.710435669	0.711710454
Wbp5	chrX	chrX	"LSK+, LSK- and Lin- (Common)"	33.41043199	33.08883237	27.52281346	25.86694909	0.990374275	0.93983666	0.965105468
Gdi1	chrX	chrX	LSK+ and Lin-	18.26930305	14.93893484	24.99364193	20.81233111	0.817706882	0.83270502	0.825205951
Huwe1	chrX	chrX	LSK+ and Lin-	70.36873797	63.96371064	62.00143981	59.67087444	0.908979079	0.962411109	0.935695094
Gripap1	chrX	chrX	LSK+ and Lin-	18.4118563	18.00927964	21.60792674	21.3694901	0.978134923	0.988965316	0.983550119
Araf	chrX	chrX	LSK+ and Lin-	17.99248072	15.05371716	17.18974667	13.88175148	0.836667127	0.80755998	0.822113554
Ube2a	chrX	chrX	LSK+ and Lin-	23.41254751	22.9561324	17.95527194	16.12855503	0.980505534	0.898262921	0.939384228
Ndufa1	chrX	chrX	LSK+ and Lin-	62.26488486	53.16331726	50.55065521	45.91785439	0.853825031	0.908353298	0.881089165
Gria3	chrX	chrX	LSK+ and Lin-	15.6684709	11.80739365	14.06005898	11.66160304	0.75357664	0.829413522	0.791495081
Slc25a14	chrX	chrX	LSK+ and Lin-	1.974057121	1.901511037	1.08003534	0.523500973	0.963250261	0.484707263	0.723978762
Cxx1a	chrX	chrX	LSK+ and Lin-	3.531110804	1.595539269	3.122774203	1.399073087	0.451851941	0.448022494	0.449937217
1110012L19Rik	chrX	chrX	LSK+ and Lin-	4.64659803	3.22260247	2.836746951	2.651980003	0.693540188	0.934866609	0.814203399
Snora70	chrX	chrX	LSK+ and Lin-	14.9120377	0	7.620895989	0	0	0	0
Taz	chrX	chrX	LSK+ and Lin-	12.57114325	9.704532225	13.4351033	10.6353434	0.771968948	0.791608607	0.781788777
Gab3	chrX	chrX	LSK+ and Lin-	4.402391549	2.4665876	3.486318294	3.271669938	0.560283558	0.938431222	0.74935739
Atrx	chrX	chrX	LSK+ and Lin-	42.44703286	38.90433668	46.55404794	45.75136591	0.916538426	0.982758062	0.949648244
Taf9b	chrX	chrX	LSK+ and Lin-	6.772830726	6.337532935	6.49248865	5.083873861	0.935728825	0.783039314	0.85938407
Tceal3	chrX	chrX	LSK+ and Lin-	1.725249204	1.31533402	2.116080178	1.333197448	0.762402334	0.630031632	0.696216983
Zcchc18	chrX	chrX	LSK+ and Lin-	1.353221002	1.151811591	1.270607456	0.408506033	0.851162958	0.321504514	0.586333736
Xiap	chrX	chrX	LSK- and Lin-	21.83967205	21.17173332	24.45453674	23.83071266	0.969416266	0.974490456	0.971953361
Zfp280c	chrX	chrX	LSK- and Lin-	13.48436032	12.01244959	10.5143325	10.33792071	0.890843118	0.983221779	0.937032448
F8a	chrX	chrX	LSK- and Lin-	3.698384125	2.469978834	4.224547282	2.882628355	0.667853514	0.682352016	0.675102765
Zfp275	chrX	chrX	LSK- and Lin-	3.805985432	3.509085502	4.516967315	3.609808526	0.921991312	0.799166404	0.860578858
Zfx	chrX	chrX	LSK- and Lin-	10.4280136	9.959203433	11.87801861	11.65822878	0.955043196	0.981496087	0.968269641
Zdhhc15	chrX	chrX	LSK- and Lin-	2.273821351	1.631957693	2.266759967	2.259305635	0.717715881	0.99671146	0.85721367
Fam199x	chrX	chrX	LSK- and Lin-	3.137363725	2.143956559	2.790394235	1.617585664	0.683362449	0.579697895	0.631530172
Fgd1	chrX	chrX	LSK- and Lin-	1.100341777	0.942557934	1.227099623	0.244677071	0.856604696	0.199394626	0.527999661
Mbtps2	chrX	chrX	LSK- and Lin-	8.059533482	5.540319267	6.647520661	6.159703199	0.687424313	0.926616631	0.807020472
Rab9	chrX	chrX	LSK- and Lin-	30.04647633	24.79833032	27.46285657	23.99308202	0.825332397	0.873655731	0.849494064
Idh3g	chrX	chrX	Lin-	120.0495672	116.7278052	114.4482799	107.9825541	0.972330079	0.943505261	0.95791767
Clcn5	chrX	chrX	Lin-	2.670290546	2.130181608	3.940964373	3.590545614	0.797734019	0.911082992	0.854408506
2900008C10Rik	chrX	chrX	Lin-	1.895965744	1.008807532	2.855314376	1.374089639	0.532081096	0.481239352	0.506660224
Gpr82	chrX	chrX	Lin-	2.29476564	1.93255052	4.468616284	1.632878939	0.842155942	0.365410417	0.60378318
Jade3	chrX	chrX	Lin-	10.17684258	8.796494448	8.016828333	5.633414618	0.864363812	0.702698671	0.783531242
Usp11	chrX	chrX	Lin-	15.4310024	13.05657403	14.68683499	13.73224162	0.84612611	0.935003466	0.890564788
Uxt	chrX	chrX	Lin-	2.063636184	1.703826936	2.537401564	0.611839542	0.825643081	0.241128386	0.533385733
C330007P06Rik	chrX	chrX	Lin-	12.57649976	11.02331974	11.67407603	9.043873488	0.876501407	0.774697155	0.825599281
Rnf113a1	chrX	chrX	Lin-	6.195808846	2.527672018	1.925921889	1.853180068	0.407964816	0.962230129	0.685097473
Cul4b	chrX	chrX	Lin-	26.65713741	25.39522147	25.7148716	25.63768226	0.952661236	0.996998261	0.974829748
Stag2	chrX	chrX	Lin-	65.38984492	61.62967797	69.62076831	68.73726493	0.942496164	0.987309773	0.964902968
Mbnl3	chrX	chrX	Lin-	34.58956654	32.17990877	33.36697381	31.88695869	0.930335705	0.955644311	0.942990008
Slc9a6	chrX	chrX	Lin-	4.36262876	3.012185336	5.529412705	5.287383906	0.690451904	0.956228842	0.823340373
Snord61	chrX	chrX	Lin-	10.56226692	0	13.47792331	10.27545038	0	0.762391219	0.381195609
Atp11c	chrX	chrX	Lin-	14.68075627	13.33931847	17.88333291	16.8075351	0.90862611	0.939843551	0.924234831
Mtmr1	chrX	chrX	Lin-	11.71160294	11.05660141	12.62282848	11.38326544	0.944072428	0.901799899	0.922936163
Pdzd4	chrX	chrX	Lin-	2.679124855	2.191582429	3.366087594	3.036759488	0.81802176	0.902162942	0.860092351
Mir7092	chrX	chrX	Lin-	10.83408997	0	2.168593197	0	0	0	0
Gspt2	chrX	chrX	Lin-	1.855175543	1.328388136	1.537935328	1.243660608	0.716044442	0.808655985	0.762350213
Zxdb	chrX	chrX	Lin-	1.179168248	0.715154818	1.153909096	0.891282174	0.606490905	0.772402417	0.689446661
Zxda	chrX	chrX	Lin-	1.869694644	1.681668673	1.733223475	1.576400287	0.899434931	0.909519349	0.90447714
Zc4h2	chrX	chrX	Lin-	3.047888194	2.097056498	3.377212218	2.372098651	0.688035901	0.702383652	0.695209776
Pja1	chrX	chrX	Lin-	12.13060084	9.015123686	9.350272788	8.875566517	0.743172066	0.949230757	0.846201411
Foxo4	chrX	chrX	Lin-	5.410573006	4.009794862	8.099190362	6.50106926	0.74110355	0.802681375	0.771892463
Itgb1bp2	chrX	chrX	Lin-	1.424435649	0	1.55865889	0.328475341	0	0.210742288	0.105371144
Ogt	chrX	chrX	Lin-	37.50857277	36.0366395	51.89622595	46.12332419	0.960757417	0.888760663	0.92475904
Uprt	chrX	chrX	Lin-	19.06574665	15.31605581	17.10692403	11.38184779	0.803328403	0.66533573	0.734332067
Xkrx	chrX	chrX	Lin-	1.153525236	0.72429442	1.009092543	0.428560886	0.627896466	0.424699289	0.526297878
Rpl36a	chrX	chrX	Lin-	27.20215727	26.99259078	21.41097741	18.32630428	0.992295961	0.855930298	0.924113129
Armcx3	chrX	chrX	Lin-	1.559767556	0.321453671	1.481177983	1.30489619	0.206090753	0.880985408	0.543538081
Tbc1d8b	chrX	chrX	Lin-	5.300578974	4.140690775	6.357584434	6.205047661	0.781177074	0.976007118	0.878592096
Rbm41	chrX	chrX	Lin-	4.063206728	2.42882517	3.614428943	3.462345868	0.597760669	0.957923346	0.777842007
Chrdl1	chrX	chrX	Lin-	1.432598122	0.810502581	1.154277046	1.147888151	0.565757115	0.994465024	0.78011107
Alg13	chrX	chrX	Lin-	2.642765167	2.547103058	3.537689007	3.371032121	0.963802267	0.95289103	0.958346648
Amot	chrX	chrX	Lin-	1.859156535	1.384208579	1.943863009	1.492331275	0.74453579	0.767714221	0.756125005
Gnl3l	chrX	chrX	Lin-	16.07107278	13.55167186	15.46102751	13.79442869	0.843233805	0.892206464	0.867720135
Smc1a	chrX	chrX	Lin-	83.58956757	83.03608442	79.88580225	79.71230241	0.993378562	0.997828152	0.995603357
Map3k15	chrX	chrX	Lin-	2.965171817	2.469935137	3.945496301	3.409079965	0.83298213	0.864043381	0.848512756
Pdha1	chrX	chrX	Lin-	38.76449511	37.01149016	36.19401158	34.82661883	0.954778079	0.96222047	0.958499274
Phka2	chrX	chrX	Lin-	18.57069555	14.34961618	16.90280486	16.45663334	0.77270214	0.973603699	0.873152919
Scml2	chrX	chrX	Lin-	2.482056988	2.142065234	1.842926568	1.818606652	0.863020166	0.986803643	0.924911905
Reps2	chrX	chrX	Lin-	5.019618105	3.845558151	4.200115735	3.629082202	0.766105722	0.864043381	0.815074552
Zrsr2	chrX	chrX	Lin-	7.194619525	4.749895922	6.689509634	5.10710677	0.660201127	0.763450096	0.711825612
Bmx	chrX	chrX	Lin-	8.716945745	8.328377884	15.39256145	12.90409638	0.955423852	0.83833327	0.896878561
