Column1	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	seqnames	start	end	width	strand	source	type	score	phase	gene_id	transcript_id	exon_number	exon_id
34	MORC4	616.2253551	0.465600815	0.102916054	4.524083451	0.00000607	0.0000718	chrX	106940738	107000212	59475	-	refGene	transcript	NA	NA	MORC4	NM_001085354	NA	NA
35	SCNN1D	113.5732147	0.435484555	0.233793974	1.86268511	0.062506582	0.185431703	chr1	1280436	1292029	11594	+	refGene	transcript	NA	NA	SCNN1D	NR_037668	NA	NA
36	MRTFB	677.6975331	0.089426811	0.270684399	0.330372979	0.741118156	0.875521003	chr16	14186686	14241465	54780	+	refGene	transcript	NA	NA	MRTFB	NM_001365415	NA	NA
37	SNORD167	16.38427005	0.737406233	0.581531317	1.26804217	0.204782892	0.418173298	chr1	1304729	1304812	84	-	refGene	transcript	NA	NA	SNORD167	NR_145806	NA	NA
38	PUSL1	372.7448659	0.439520133	0.158465546	2.773600603	0.00554397	0.028116454	chr1	1308580	1311677	3098	+	refGene	transcript	NA	NA	PUSL1	NM_001346116	NA	NA
39	MSRB3	3282.513091	0.143433581	0.193602638	0.740865836	0.458774792	0.678731931	chr12	65278683	65466907	188225	+	refGene	transcript	NA	NA	MSRB3	NM_001193460	NA	NA
40	FGFR3	441.3641131	3.130980628	0.290132186	10.79156597	3.77E-27	4.99E-25	chr4	1793312	1808872	15561	+	refGene	transcript	NA	NA	FGFR3	NM_001163213	NA	NA
41	EWSR1	4893.55741	-0.058841927	0.108896826	-0.540345657	0.588958677	0.778307753	chr22	29268268	29300521	32254	+	refGene	transcript	NA	NA	EWSR1	NM_001163285	NA	NA
42	TMA7	3677.296853	-0.310851343	0.158174836	-1.965238912	0.049386592	0.156918769	chr3	48440257	48444208	3952	+	refGene	transcript	NA	NA	TMA7	NM_015933	NA	NA
43	NUPR1	72.30754386	-1.329543426	0.48221887	-2.757136873	0.005830994	0.029311125	chr16	28532708	28538974	6267	-	refGene	transcript	NA	NA	NUPR1	NM_012385	NA	NA
44	OSTF1	454.324931	0.656377435	0.172748133	3.799620999	0.000144918	0.001240927	chr9	75088514	75147265	58752	+	refGene	transcript	NA	NA	OSTF1	NM_012383	NA	NA
45	ORC3	1054.999034	-0.134555788	0.161541313	-0.832949697	0.4048731	0.630899508	chr6	87590067	87667454	77388	+	refGene	transcript	NA	NA	ORC3	NM_012381	NA	NA
46	MXRA8	18.05662335	-1.672595826	0.481055353	-3.476930079	0.00050719	0.003723451	chr1	1352689	1358794	6106	-	refGene	transcript	NA	NA	MXRA8	NM_001282584	NA	NA
47	SERPINC1	2.727306142	0.464752264	1.736068208	0.26770392	0.788927233	0.900813079	chr1	173903804	173917378	13575	-	refGene	transcript	NA	NA	SERPINC1	NM_000488	NA	NA
48	SPRED2	783.6625253	0.087883342	0.211311971	0.415893815	0.677487706	0.83637832	chr2	65310851	65366778	55928	-	refGene	transcript	NA	NA	SPRED2	NM_001128210	NA	NA
49	AK8	15.91386159	0.577366957	0.412729972	1.398897576	0.1618437	0.35806519	chr9	132725578	132879046	153469	-	refGene	transcript	NA	NA	AK8	NM_001371771	NA	NA
50	GALNS	822.9551287	0.034988703	0.197013248	0.177595689	0.859040511	0.933589786	chr16	88813734	88856947	43214	-	refGene	transcript	NA	NA	GALNS	NM_001323543	NA	NA
51	FBXW8	262.8504423	0.519151488	0.143804717	3.610114457	0.000306062	0.002415447	chr12	116910956	117031148	120193	+	refGene	transcript	NA	NA	FBXW8	NM_012174	NA	NA
52	IKBKG	248.5095992	0.453402426	0.131292645	3.453372618	0.000553624	0.004021441	chrX	154542212	154565030	22819	+	refGene	transcript	NA	NA	IKBKG	NM_001321396	NA	NA
53	PSME1	1689.966962	0.169864934	0.166801407	1.018366312	0.308503906	0.537652196	chr14	24136194	24138962	2769	+	refGene	transcript	NA	NA	PSME1	NM_001281529	NA	NA
54	SETDB1	1085.323562	0.238093904	0.078455308	3.034771147	0.002407183	0.01408496	chr1	150926363	150945320	18958	+	refGene	transcript	NA	NA	SETDB1	NM_001243491	NA	NA
55	VSTM1	4.242000883	2.713328402	1.268830849	2.138447694	0.032480425	0.114688256	chr19	15193	38264	23072	-	refGene	transcript	NA	NA	VSTM1	NR_110142	NA	NA
56	MRPL20-AS1	412.4194025	0.019945715	0.140452779	0.142010115	0.887072016	0.948453335	chr1	1399530	1402046	2517	+	refGene	transcript	NA	NA	MRPL20-AS1	NR_015434	NA	NA
57	PAQR3	378.8095005	-0.194484876	0.207669263	-0.936512572	0.349009343	0.579038876	chr4	78911878	78939438	27561	-	refGene	transcript	NA	NA	PAQR3	NM_001040202	NA	NA
58	LINC01770	67.52927711	0.532086003	0.494512721	1.075980416	0.281936015	0.509166725	chr1	1430157	1434573	4417	-	refGene	transcript	NA	NA	LINC01770	NR_125994	NA	NA
59	CARD8	273.0531673	-0.713168689	0.145604568	-4.89798292	0.000000968	0.0000135	chr19	48208086	48255912	47827	-	refGene	transcript	NA	NA	CARD8	NM_001351792	NA	NA
60	PPIP5K2	1891.266257	0.516326951	0.121365594	4.254310744	0.000021	0.000220479	chr5	103120301	103212799	92499	+	refGene	transcript	NA	NA	PPIP5K2	NM_001345876	NA	NA
61	LOC105378586	25.77797136	-0.20795842	0.415688617	-0.500274512	0.616881799	0.797811897	chr1	1599433	1607210	7778	+	refGene	transcript	NA	NA	LOC105378586	NR_147951	NA	NA
62	IFT81	1029.884203	-0.726453245	0.235622856	-3.083118746	0.002048434	0.012272772	chr12	110124357	110218793	94437	+	refGene	transcript	NA	NA	IFT81	NM_001143779	NA	NA
63	ASAP3	265.2116266	0.759032464	0.180357212	4.208495217	0.0000257	0.000265234	chr1	23428563	23484179	55617	-	refGene	transcript	NA	NA	ASAP3	NM_001143778	NA	NA
64	CRELD1	214.0164997	0.393239068	0.246001031	1.598526101	0.109925941	0.276160715	chr3	9933834	9945406	11573	+	refGene	transcript	NA	NA	CRELD1	NM_001374319	NA	NA
65	NLRP2	5166.205254	-0.126948863	0.132472337	-0.958304699	0.337909135	0.568447203	chr19	678535	713298	34764	+	refGene	transcript	NA	NA	NLRP2	NR_145325	NA	NA
66	ZNF232	320.3673354	-0.42454952	0.231954513	-1.830313685	0.067203046	0.195433084	chr17	5105734	5123042	17309	-	refGene	transcript	NA	NA	ZNF232	NM_001320953	NA	NA
67	MMP23A	21.57332678	-0.911807591	0.518496959	-1.758559189	0.07865241	0.21908327	chr1	1632780	1634651	1872	+	refGene	transcript	NA	NA	MMP23A	NR_002946	NA	NA
68	CAST	4166.342634	0.37266202	0.181036255	2.058493866	0.03954275	0.132892602	chr5	96662376	96774681	112306	+	refGene	transcript	NA	NA	CAST	NM_001042440	NA	NA
69	AASDH	387.1679777	-0.122689596	0.186915576	-0.656390435	0.511572943	0.721927542	chr4	56338291	56387491	49201	-	refGene	transcript	NA	NA	AASDH	NM_001286670	NA	NA
70	SUMO3	350.2543464	-0.484779371	0.20670366	-2.345286821	0.019012448	0.076429206	chr21	44805617	44818129	12513	-	refGene	transcript	NA	NA	SUMO3	NM_001286416	NA	NA
71	CYP21A2	2.710286693	-1.142581824	1.236416785	-0.924107339	0.355430433	0.584760945	chr6	3279823	3283052	3230	+	refGene	transcript	NA	NA	CYP21A2	NM_000500	NA	NA
72	CASP3	1710.570945	0.063081585	0.215105571	0.293258725	0.7693244	0.890291907	chr4	184627696	184649447	21752	-	refGene	transcript	NA	NA	CASP3	NM_004346	NA	NA
73	CALD1	924.5680514	0.019034204	0.235343646	0.080878342	0.935538704	0.972401469	chr7	134779634	134970729	191096	+	refGene	transcript	NA	NA	CALD1	NM_004342	NA	NA
74	IDE	1623.139334	-0.119831791	0.095713709	-1.251981482	0.210576612	0.426524154	chr10	92451684	92497761	46078	-	refGene	transcript	NA	NA	IDE	NM_001165946	NA	NA
75	DAXX	5733.973631	0.059505901	0.159126401	0.373953664	0.70843879	0.855096232	chr6	4562073	4566478	4406	-	refGene	transcript	NA	NA	DAXX	NM_001141970	NA	NA
76	SGCE	429.0975942	0.664220133	0.139077383	4.775903299	0.00000179	0.0000234	chr7	94584980	94656133	71154	-	refGene	transcript	NA	NA	SGCE	NM_001362807	NA	NA
77	HLA-C	12118.25067	0.577948725	0.200160859	2.887421287	0.003884138	0.020918874	chr6	2611478	2614809	3332	-	refGene	transcript	NA	NA	HLA-C	NM_002117	NA	NA
78	CNTD1	6.235678298	0.27545431	0.806368202	0.341598676	0.732652934	0.869726243	chr17	42798861	42811587	12727	+	refGene	transcript	NA	NA	CNTD1	NM_001330222	NA	NA
79	EBAG9	246.9329427	-0.092694334	0.153022969	-0.605754384	0.544677865	0.746383858	chr8	109540626	109565996	25371	+	refGene	transcript	NA	NA	EBAG9	NM_001278938	NA	NA
80	SLC11A2	1181.827168	0.029216779	0.178415885	0.163756602	0.869922757	0.939175432	chr12	50985992	51026384	40393	-	refGene	transcript	NA	NA	SLC11A2	NM_000617	NA	NA
81	RMDN2	73.01983862	-0.590706138	0.20827138	-2.836232889	0.004564915	0.023846698	chr2	37928759	38017747	88989	+	refGene	transcript	NA	NA	RMDN2	NM_001170792	NA	NA
82	CENPX	829.3850542	0.168653353	0.208334244	0.809532554	0.418208885	0.642425409	chr17	82018703	82022878	4176	-	refGene	transcript	NA	NA	CENPX	NM_144998	NA	NA
83	OGFOD3	271.2045073	0.414767888	0.13288189	3.121327431	0.001800377	0.010949423	chr17	82389210	82418586	29377	-	refGene	transcript	NA	NA	OGFOD3	NM_175902	NA	NA
84	SLC25A39	2245.876427	0.763948124	0.123390201	6.191319214	5.97E-10	1.39E-08	chr17	44319625	44324870	5246	-	refGene	transcript	NA	NA	SLC25A39	NM_001321240	NA	NA
85	ELP4	259.2107839	-0.47404448	0.155608311	-3.046395643	0.002316029	0.013609449	chr11	31509767	31790322	280556	+	refGene	transcript	NA	NA	ELP4	NM_001288726	NA	NA
86	C2	120.646469	-0.253126397	0.30363908	-0.833642353	0.404482552	0.630536319	chr6	3232932	3250649	17718	+	refGene	transcript	NA	NA	C2	NM_001282458	NA	NA
87	TSNARE1	89.33732469	0.23002148	0.218855312	1.051020777	0.293249048	0.521914424	chr8	142212080	142403182	191103	-	refGene	transcript	NA	NA	TSNARE1	NM_145003	NA	NA
88	TDRP	612.376853	0.592240702	0.122138437	4.848929744	0.00000124	0.0000169	chr8	489790	545781	55992	-	refGene	transcript	NA	NA	TDRP	NM_175075	NA	NA
89	RAB5C	1428.356552	0.060615447	0.103110571	0.587868401	0.556620628	0.754184196	chr17	42124979	42154989	30011	-	refGene	transcript	NA	NA	RAB5C	NM_004583	NA	NA
90	LOC105378591	4.511999167	0.952216452	0.821200942	1.159541353	0.246235591	0.469510892	chr1	2049201	2050070	870	-	refGene	transcript	NA	NA	LOC105378591	NR_135509	NA	NA
91	RRAGB	220.7125723	-0.234078086	0.140405393	-1.667158796	0.095482833	0.250545742	chrX	55717749	55758774	41026	+	refGene	transcript	NA	NA	RRAGB	NR_148689	NA	NA
92	RDH13	1078.396591	0.16863108	0.121245625	1.390821978	0.164279417	0.361664321	chr19	1051839	1070671	18833	-	refGene	transcript	NA	NA	RDH13	NR_027381	NA	NA
93	ULK3	840.8190631	-0.229397813	0.159929589	-1.43436755	0.151467403	0.343060271	chr15	74836118	74843156	7039	-	refGene	transcript	NA	NA	ULK3	NR_104307	NA	NA
94	GTF2IP20	165.6801323	0.038903964	0.344480351	0.112935219	0.910081914	0.960312575	chr1	223951266	223992644	41379	-	refGene	transcript	NA	NA	GTF2IP20	NR_132119	NA	NA
95	PRKCZ-AS1	12.59697706	-0.185198314	0.522182361	-0.35466214	0.722842717	0.86402171	chr1	2181794	2183875	2082	-	refGene	transcript	NA	NA	PRKCZ-AS1	NR_146290	NA	NA
96	YJEFN3	103.5334111	-0.128899913	0.233548609	-0.551918995	0.581003854	0.773126469	chr19	19528911	19537581	8671	+	refGene	transcript	NA	NA	YJEFN3	NM_001190328	NA	NA
97	FBXO11	1138.247749	0.154386405	0.212051657	0.728060354	0.466576642	0.685729421	chr2	47806920	47906498	99579	-	refGene	transcript	NA	NA	FBXO11	NM_001190274	NA	NA
98	FAAP20	451.4411041	0.083356015	0.121953851	0.683504578	0.494288059	0.707876725	chr1	2189549	2194775	5227	-	refGene	transcript	NA	NA	FAAP20	NR_046427	NA	NA
99	ATG16L1	1182.655644	-0.57026064	0.178126174	-3.201442142	0.001367415	0.008733623	chr2	233251673	233295668	43996	+	refGene	transcript	NA	NA	ATG16L1	NM_001190267	NA	NA
100	NFIC	698.6774051	0.037194035	0.319562483	0.116390492	0.90734307	0.959138157	chr19	3366583	3469217	102635	+	refGene	transcript	NA	NA	NFIC	NM_001245002	NA	NA
101	PBRM1	2021.981926	0.220335619	0.146180516	1.507284449	0.131737762	0.312739918	chr3	52545367	52685913	140547	-	refGene	transcript	NA	NA	PBRM1	NM_001366076	NA	NA
102	LOC100129534	41.39148055	0.278522966	0.445867452	0.624676604	0.532183331	0.737652452	chr1	2350415	2352661	2247	-	refGene	transcript	NA	NA	LOC100129534	NR_024489	NA	NA
103	PRDM15	551.910114	0.02615247	0.115550132	0.226330075	0.820944709	0.9148809	chr21	41798225	41879344	81120	-	refGene	transcript	NA	NA	PRDM15	NR_104257	NA	NA
104	ADCY3	1113.521359	0.44757318	0.09703287	4.612593432	0.00000398	0.0000492	chr2	24819170	24920237	101068	-	refGene	transcript	NA	NA	ADCY3	NM_001320613	NA	NA
105	HROB	194.8912699	0.300937173	0.159384954	1.888115317	0.059010471	0.17793738	chr17	44141930	44162476	20547	+	refGene	transcript	NA	NA	HROB	NM_001321310	NA	NA
106	PLCH2	18.5531229	-0.428082249	0.605965617	-0.706446434	0.479910553	0.697300288	chr1	2476315	2505530	29216	+	refGene	transcript	NA	NA	PLCH2	NM_001303013	NA	NA
107	TNFRSF14-AS1	51.35894713	0.613893074	0.651754852	0.941907945	0.346239772	0.576647364	chr1	2549920	2557011	7092	-	refGene	transcript	NA	NA	TNFRSF14-AS1	NR_037844	NA	NA
108	LOC100996583	5.067277653	-0.408864145	1.22454683	-0.333890167	0.73846244	0.873588956	chr1	2566535	2584534	18000	+	refGene	transcript	NA	NA	LOC100996583	NR_121638	NA	NA
109	CRCP	928.527771	0.471924579	0.173697004	2.716941385	0.006588828	0.03240079	chr7	66114818	66154566	39749	+	refGene	transcript	NA	NA	CRCP	NM_001040647	NA	NA
110	SARS1	2326.428744	-0.129719155	0.227199157	-0.570949104	0.568034144	0.763304662	chr1	109213893	109217491	3599	+	refGene	transcript	NA	NA	SARS1	NR_034072	NA	NA
111	SORD	980.3742116	0.069923892	0.124825604	0.560172672	0.575361665	0.768716521	chr15	45023195	45077185	53991	+	refGene	transcript	NA	NA	SORD	NR_034039	NA	NA
112	RMDN3	741.7619428	0.319658203	0.107308843	2.978861705	0.002893213	0.016372078	chr15	40735887	40755254	19368	-	refGene	transcript	NA	NA	RMDN3	NM_018145	NA	NA
113	RNF5	2963.361964	-0.463363036	0.259120053	-1.788217583	0.073740911	0.209287347	chr6	3520426	3522812	2387	+	refGene	transcript	NA	NA	RNF5	NM_006913	NA	NA
114	COPG2	304.3084144	-0.583500121	0.316494299	-1.84363549	0.06523628	0.191025151	chr7	130506239	130668748	162510	-	refGene	transcript	NA	NA	COPG2	NM_012133	NA	NA
115	EPN3	84.00792026	1.995539808	0.279176518	7.147950049	8.81E-13	2.96E-11	chr17	50532735	50543750	11016	+	refGene	transcript	NA	NA	EPN3	NM_017957	NA	NA
116	PRDM16-DT	17.84966801	3.798694713	0.788806564	4.815749369	0.00000147	0.0000196	chr1	3059617	3067725	8109	-	refGene	transcript	NA	NA	PRDM16-DT	NR_015440	NA	NA
117	BAG6	14655.17091	0.762245426	0.17567749	4.338890689	0.0000143	0.000156755	chr6	2886791	2900432	13642	-	refGene	transcript	NA	NA	BAG6	NM_080702	NA	NA
118	ZNF14	466.8359086	-0.488717873	0.128229174	-3.81128457	0.000138247	0.001191835	chr19	19710472	19733112	22641	-	refGene	transcript	NA	NA	ZNF14	NM_021030	NA	NA
119	ADCY6	1150.679146	0.627354417	0.149496949	4.196436259	0.0000271	0.000278015	chr12	48766196	48789089	22894	-	refGene	transcript	NA	NA	ADCY6	NM_015270	NA	NA
120	PPP1CC	3934.224823	0.016694633	0.125474578	0.133051916	0.894152322	0.952049344	chr12	110719680	110742891	23212	-	refGene	transcript	NA	NA	PPP1CC	NM_002710	NA	NA
121	ILF3	6679.328224	-0.02609847	0.093736905	-0.278422567	0.780687998	0.897009206	chr19	10654346	10692400	38055	+	refGene	transcript	NA	NA	ILF3	NM_012218	NA	NA
122	C19orf44	128.7112232	-0.067277124	0.245511159	-0.274028782	0.784062503	0.898824277	chr19	16496394	16521352	24959	+	refGene	transcript	NA	NA	C19orf44	NM_032207	NA	NA
123	CHRAC1	612.1358132	-0.135303536	0.169072072	-0.800271357	0.423553594	0.647161005	chr8	140511322	140517154	5833	+	refGene	transcript	NA	NA	CHRAC1	NM_017444	NA	NA
124	FOXD3	33.82736918	-0.813646152	0.3098453	-2.625975452	0.008640105	0.040429816	chr1	63322567	63325128	2562	+	refGene	transcript	NA	NA	FOXD3	NM_012183	NA	NA
125	FKBP8	4753.682282	0.281158485	0.269358592	1.043807375	0.296574519	0.525398745	chr19	18531763	18543573	11811	-	refGene	transcript	NA	NA	FKBP8	NM_012181	NA	NA
126	BZW1	10209.94731	-0.453238699	0.165153787	-2.74434336	0.006063208	0.030184471	chr2	200811910	200827336	15427	+	refGene	transcript	NA	NA	BZW1	NM_001321688	NA	NA
127	LRRC28	158.5216311	-0.313662181	0.160292484	-1.95681153	0.050369631	0.159113705	chr15	99251481	99390729	139249	+	refGene	transcript	NA	NA	LRRC28	NM_001321679	NA	NA
128	MADD	1143.708247	0.284704116	0.123166239	2.311543475	0.020802855	0.081990349	chr11	47269663	47330031	60369	+	refGene	transcript	NA	NA	MADD	NM_001135944	NA	NA
129	BOP1	1180.271656	0.180247324	0.181813876	0.991383757	0.321498228	0.551340089	chr8	144262045	144291438	29394	-	refGene	transcript	NA	NA	BOP1	NM_015201	NA	NA
130	EXOC6B	533.1934685	0.497187335	0.14087346	3.529318694	0.000416631	0.003149617	chr2	72175984	72826033	650050	-	refGene	transcript	NA	NA	EXOC6B	NM_015189	NA	NA
131	C19orf18	22.72312547	0.161522512	0.392332554	0.41169796	0.680560821	0.837931975	chr19	57958437	57974534	16098	-	refGene	transcript	NA	NA	C19orf18	NM_152474	NA	NA
132	INPP5B	490.4306156	-0.388437019	0.226825851	-1.712490077	0.086806392	0.234483725	chr1	37860697	37947057	86361	-	refGene	transcript	NA	NA	INPP5B	NM_001365821	NA	NA
133	LINC01134	23.61149746	0.289034051	0.445185832	0.649243597	0.516180936	0.725393628	chr1	3900404	3915447	15044	+	refGene	transcript	NA	NA	LINC01134	NR_024455	NA	NA
134	TACC2	829.6471632	2.285092365	0.258298075	8.846726257	9.01E-19	5.7E-17	chr10	122112885	122254542	141658	+	refGene	transcript	NA	NA	TACC2	NM_001291879	NA	NA
135	SHOX2	296.5991716	-0.187857343	0.150174783	-1.250924682	0.210961958	0.426990519	chr3	158096011	158106163	10153	-	refGene	transcript	NA	NA	SHOX2	NM_003030	NA	NA
136	EXOG	395.6778436	-0.480202507	0.129085269	-3.720041094	0.00019919	0.001641011	chr3	38496272	38526305	30034	+	refGene	transcript	NA	NA	EXOG	NM_001145464	NA	NA
137	ZNF195	828.6741318	-0.049808209	0.10909075	-0.456575916	0.647975893	0.817641181	chr11	3357927	3379146	21220	-	refGene	transcript	NA	NA	ZNF195	NM_001130520	NA	NA
138	NDRG4	60.85796867	1.548443657	0.329795641	4.695161083	0.00000266	0.0000339	chr16	58464090	58513619	49530	+	refGene	transcript	NA	NA	NDRG4	NM_001130487	NA	NA
139	VRK2	567.2673554	-0.47417067	0.179305012	-2.644491999	0.008181364	0.038788683	chr2	58046642	58159920	113279	+	refGene	transcript	NA	NA	VRK2	NM_001130483	NA	NA
140	CELF2	45.33526011	-10.18299577	1.243421587	-8.189495726	2.62E-16	1.27E-14	chr10	11018756	11331455	312700	+	refGene	transcript	NA	NA	CELF2	NM_001326345	NA	NA
141	SEC11C	282.4548995	-0.078856217	0.189386535	-0.416377104	0.67713408	0.836191741	chr18	59139884	59158831	18948	+	refGene	transcript	NA	NA	SEC11C	NM_001307941	NA	NA
142	ARID3B	411.2813534	-0.256476718	0.160396979	-1.599012153	0.109817902	0.27597324	chr15	74541177	74598131	56955	+	refGene	transcript	NA	NA	ARID3B	NM_001307939	NA	NA
143	POF1B	8.317002805	-4.041114068	1.069880305	-3.777164649	0.000158624	0.001342978	chrX	85282116	85379665	97550	-	refGene	transcript	NA	NA	POF1B	NM_001307940	NA	NA
144	TRIM14	412.0612271	-0.251106033	0.148711193	-1.688548305	0.091306024	0.242708869	chr9	98084353	98119222	34870	-	refGene	transcript	NA	NA	TRIM14	NM_014788	NA	NA
145	ARHGEF17	815.127044	0.265645551	0.157734151	1.684134659	0.092155648	0.244374468	chr11	73308276	73369388	61113	+	refGene	transcript	NA	NA	ARHGEF17	NM_014786	NA	NA
146	ARHGEF11	2522.215442	0.050077309	0.090202907	0.555162918	0.57878323	0.771339037	chr1	156934840	157045742	110903	-	refGene	transcript	NA	NA	ARHGEF11	NM_014784	NA	NA
147	LOC102724450	194.3723279	0.422397942	0.181858689	2.322671216	0.020196822	0.080137185	chr1	6204840	6205780	941	-	refGene	transcript	NA	NA	LOC102724450	NR_125997	NA	NA
